Pop,Line,Cross,i7,Pool,Block
AFC,19,18,1,2,16
MC,6,16,2,2,11
AFC,19,20,3,2,16
MC,6,18,4,2,11
AFC,24,16,5,2,16
MC,6,20,6,2,11
AFC,24,18,7,2,16
MC,13,16,8,2,11
AFC,24,20,9,2,17
MC,13,18,10,2,12
AFC,30,16,11,2,17
MC,13,20,12,2,12
AFC,30,18,13,2,17
MC,14,16,14,2,12
AFC,30,20,15,2,17
MC,14,18,16,2,12
AFC,47,16,17,2,17
MC,14,20,18,2,12
AFC,47,18,19,2,18
MC,15,16,20,2,13
AFC,47,20,21,2,18
MC,15,18,22,2,13
AFC,48,16,23,2,18
MC,15,20,24,2,13
AFC,48,18,25,2,18
MC,17,16,26,2,13
AFC,48,20,27,2,18
MC,17,18,28,2,13
AFC,49,16,29,2,19
MC,17,20,30,2,14
AFC,49,18,31,2,19
MC,20,16,32,2,14
AFC,49,20,33,2,19
MC,20,18,34,2,14
AFC,56,16,35,2,19
MC,20,20,36,2,14
AFC,56,18,37,2,19
MC,27,16,38,2,14
AFC,56,20,39,2,20
MC,27,18,40,2,15
AFC,57,16,41,2,20
MC,27,20,42,2,15
AFC,57,18,43,2,20
AFC,14,16,44,2,15
AFC,57,20,45,2,20
AFC,14,18,46,2,15
AFC,60,16,47,2,20
AFC,14,20,48,2,15
AFC,60,18,49,2,21
AFC,60,20,51,2,21
AFC,60,19,050,1,11
