Job_1529_Pool1 5440_S1 bc1001_BAK8A--bc1001_BAK8A
sample 1
pool Job_1529_Pool1
bamfile bc1001_BAK8A--bc1001_BAK8A
>|> 20190301 18:43:04.589 -|- INFO       -|- AlignSettings -|- 0x7f50030ab740|| -|- Using 4 threads for alignments, 2 threads for sorting, and 1.5G bytes RAM for sorting.
>|> 20190301 18:43:04.593 -|- INFO       -|- CheckPositionalArgs -|- 0x7f50030ab740|| -|- READ input file: /dscrhome/kms173/work/iso_pac_bio/data/raw/Samuk_5440_20190226/Demultiplexed_Pools/Job_1529_Pool1/lima_output.bc1001_BAK8A--bc1001_BAK8A.bam
>|> 20190301 18:43:04.593 -|- INFO       -|- CheckPositionalArgs -|- 0x7f50030ab740|| -|- REF  input file: ref/dpse-all-chromosome-r3.04.fasta
>|> 20190301 18:43:04.599 -|- INFO       -|- Index -|- 0x7f50030ab740|| -|- Start reading/building index
>|> 20190301 18:43:09.628 -|- INFO       -|- Index -|- 0x7f50030ab740|| -|- Finished reading/building index
>|> 20190301 19:00:24.170 -|- INFO       -|- operator() -|- 0x7f4ffb7fe700|| -|- Merged sorted output from 2 files and 2 in-memory blocks
>|> 20190301 19:00:24.170 -|- INFO       -|- Close -|- 0x7f50030ab740|| -|- Generating BAI
>|> 20190301 19:00:33.455 -|- INFO       -|- Runner -|- 0x7f50030ab740|| -|- Mapped Reads: 39091
>|> 20190301 19:00:33.455 -|- INFO       -|- Runner -|- 0x7f50030ab740|| -|- Alignments: 61025
>|> 20190301 19:00:33.455 -|- INFO       -|- Runner -|- 0x7f50030ab740|| -|- Mapped Bases: 251632158
>|> 20190301 19:00:33.455 -|- INFO       -|- Runner -|- 0x7f50030ab740|| -|- Mean Mapped Concordance: 85.2094%
>|> 20190301 19:00:33.455 -|- INFO       -|- Runner -|- 0x7f50030ab740|| -|- Max Mapped Read Length: 17199
>|> 20190301 19:00:33.455 -|- INFO       -|- Runner -|- 0x7f50030ab740|| -|- Mean Mapped Read Length: 4123.43
>|> 20190301 19:00:33.455 -|- INFO       -|- Runner -|- 0x7f50030ab740|| -|- Index Build/Read Time: 5s 428ms 
>|> 20190301 19:00:33.455 -|- INFO       -|- Runner -|- 0x7f50030ab740|| -|- Alignment Time: 7m 12s 
>|> 20190301 19:00:33.455 -|- INFO       -|- Runner -|- 0x7f50030ab740|| -|- Sort Merge Time: 10m 1s 
>|> 20190301 19:00:33.455 -|- INFO       -|- Runner -|- 0x7f50030ab740|| -|- BAI Generation Time: 9s 285ms 
>|> 20190301 19:00:33.455 -|- INFO       -|- Runner -|- 0x7f50030ab740|| -|- Run Time: 17m 28s 
>|> 20190301 19:00:33.455 -|- INFO       -|- Runner -|- 0x7f50030ab740|| -|- CPU Time: 10m 57s 
>|> 20190301 19:00:33.455 -|- INFO       -|- Runner -|- 0x7f50030ab740|| -|- Peak RSS: 3.19428 GB
