Job_1529_Pool1 5440_S3 bc1004_BAK8A--bc1004_BAK8A
sample 3
pool Job_1529_Pool1
bamfile bc1004_BAK8A--bc1004_BAK8A
>|> 20190301 18:43:04.697 -|- INFO       -|- AlignSettings -|- 0x7f89ec4d7740|| -|- Using 4 threads for alignments, 2 threads for sorting, and 1.5G bytes RAM for sorting.
>|> 20190301 18:43:04.703 -|- INFO       -|- CheckPositionalArgs -|- 0x7f89ec4d7740|| -|- READ input file: /dscrhome/kms173/work/iso_pac_bio/data/raw/Samuk_5440_20190226/Demultiplexed_Pools/Job_1529_Pool1/lima_output.bc1004_BAK8A--bc1004_BAK8A.bam
>|> 20190301 18:43:04.704 -|- INFO       -|- CheckPositionalArgs -|- 0x7f89ec4d7740|| -|- REF  input file: ref/dpse-all-chromosome-r3.04.fasta
>|> 20190301 18:43:04.709 -|- INFO       -|- Index -|- 0x7f89ec4d7740|| -|- Start reading/building index
>|> 20190301 18:43:10.293 -|- INFO       -|- Index -|- 0x7f89ec4d7740|| -|- Finished reading/building index
>|> 20190301 19:07:08.725 -|- INFO       -|- operator() -|- 0x7f89e9c0e700|| -|- Merged sorted output from 2 files and 2 in-memory blocks
>|> 20190301 19:07:08.725 -|- INFO       -|- Close -|- 0x7f89ec4d7740|| -|- Generating BAI
>|> 20190301 19:07:17.783 -|- INFO       -|- Runner -|- 0x7f89ec4d7740|| -|- Mapped Reads: 55600
>|> 20190301 19:07:17.783 -|- INFO       -|- Runner -|- 0x7f89ec4d7740|| -|- Alignments: 89669
>|> 20190301 19:07:17.783 -|- INFO       -|- Runner -|- 0x7f89ec4d7740|| -|- Mapped Bases: 394235240
>|> 20190301 19:07:17.783 -|- INFO       -|- Runner -|- 0x7f89ec4d7740|| -|- Mean Mapped Concordance: 85.2314%
>|> 20190301 19:07:17.783 -|- INFO       -|- Runner -|- 0x7f89ec4d7740|| -|- Max Mapped Read Length: 21892
>|> 20190301 19:07:17.783 -|- INFO       -|- Runner -|- 0x7f89ec4d7740|| -|- Mean Mapped Read Length: 4396.56
>|> 20190301 19:07:17.783 -|- INFO       -|- Runner -|- 0x7f89ec4d7740|| -|- Index Build/Read Time: 6s 154ms 
>|> 20190301 19:07:17.783 -|- INFO       -|- Runner -|- 0x7f89ec4d7740|| -|- Alignment Time: 7m 33s 
>|> 20190301 19:07:17.783 -|- INFO       -|- Runner -|- 0x7f89ec4d7740|| -|- Sort Merge Time: 16m 24s 
>|> 20190301 19:07:17.783 -|- INFO       -|- Runner -|- 0x7f89ec4d7740|| -|- BAI Generation Time: 9s 57ms 
>|> 20190301 19:07:17.783 -|- INFO       -|- Runner -|- 0x7f89ec4d7740|| -|- Run Time: 24m 13s 
>|> 20190301 19:07:17.783 -|- INFO       -|- Runner -|- 0x7f89ec4d7740|| -|- CPU Time: 18m 12s 
>|> 20190301 19:07:17.783 -|- INFO       -|- Runner -|- 0x7f89ec4d7740|| -|- Peak RSS: 3.22594 GB
