Job_1528_Pool2 5440_S9 bc1015_BAK8B--bc1015_BAK8B
sample 9
pool Job_1528_Pool2
bamfile bc1015_BAK8B--bc1015_BAK8B
>|> 20190301 19:05:03.231 -|- INFO       -|- AlignSettings -|- 0x7f810466b740|| -|- Using 4 threads for alignments, 2 threads for sorting, and 1.5G bytes RAM for sorting.
>|> 20190301 19:05:03.391 -|- INFO       -|- CheckPositionalArgs -|- 0x7f810466b740|| -|- READ input file: /dscrhome/kms173/work/iso_pac_bio/data/raw/Samuk_5440_20190226/Demultiplexed_Pools/Job_1528_Pool2/lima_output.bc1015_BAK8B--bc1015_BAK8B.bam
>|> 20190301 19:05:03.391 -|- INFO       -|- CheckPositionalArgs -|- 0x7f810466b740|| -|- REF  input file: ref/dpse-all-chromosome-r3.04.fasta
>|> 20190301 19:05:03.396 -|- INFO       -|- Index -|- 0x7f810466b740|| -|- Start reading/building index
>|> 20190301 19:05:09.164 -|- INFO       -|- Index -|- 0x7f810466b740|| -|- Finished reading/building index
>|> 20190301 19:09:47.228 -|- INFO       -|- operator() -|- 0x7f8101da2700|| -|- Merged sorted output from 2 files and 2 in-memory blocks
>|> 20190301 19:09:47.228 -|- INFO       -|- Close -|- 0x7f810466b740|| -|- Generating BAI
>|> 20190301 19:09:50.142 -|- INFO       -|- Runner -|- 0x7f810466b740|| -|- Mapped Reads: 62643
>|> 20190301 19:09:50.142 -|- INFO       -|- Runner -|- 0x7f810466b740|| -|- Alignments: 94193
>|> 20190301 19:09:50.142 -|- INFO       -|- Runner -|- 0x7f810466b740|| -|- Mapped Bases: 389411302
>|> 20190301 19:09:50.142 -|- INFO       -|- Runner -|- 0x7f810466b740|| -|- Mean Mapped Concordance: 85.2466%
>|> 20190301 19:09:50.142 -|- INFO       -|- Runner -|- 0x7f810466b740|| -|- Max Mapped Read Length: 28929
>|> 20190301 19:09:50.142 -|- INFO       -|- Runner -|- 0x7f810466b740|| -|- Mean Mapped Read Length: 4134.19
>|> 20190301 19:09:50.142 -|- INFO       -|- Runner -|- 0x7f810466b740|| -|- Index Build/Read Time: 6s 210ms 
>|> 20190301 19:09:50.142 -|- INFO       -|- Runner -|- 0x7f810466b740|| -|- Alignment Time: 4m 21s 
>|> 20190301 19:09:50.142 -|- INFO       -|- Runner -|- 0x7f810466b740|| -|- Sort Merge Time: 16s 49ms 
>|> 20190301 19:09:50.142 -|- INFO       -|- Runner -|- 0x7f810466b740|| -|- BAI Generation Time: 2s 913ms 
>|> 20190301 19:09:50.142 -|- INFO       -|- Runner -|- 0x7f810466b740|| -|- Run Time: 4m 46s 
>|> 20190301 19:09:50.142 -|- INFO       -|- Runner -|- 0x7f810466b740|| -|- CPU Time: 17m 25s 
>|> 20190301 19:09:50.142 -|- INFO       -|- Runner -|- 0x7f810466b740|| -|- Peak RSS: 3.13847 GB
