Job_1527_Pool3 5440_S11 bc1017_BAK8B--bc1017_BAK8B
sample 11
pool Job_1527_Pool3
bamfile bc1017_BAK8B--bc1017_BAK8B
>|> 20190301 19:07:21.080 -|- INFO       -|- AlignSettings -|- 0x7fa356d1c740|| -|- Using 4 threads for alignments, 2 threads for sorting, and 1.5G bytes RAM for sorting.
>|> 20190301 19:07:21.142 -|- INFO       -|- CheckPositionalArgs -|- 0x7fa356d1c740|| -|- READ input file: /dscrhome/kms173/work/iso_pac_bio/data/raw/Samuk_5440_20190226/Demultiplexed_Pools/Job_1527_Pool3/lima_output.bc1017_BAK8B--bc1017_BAK8B.bam
>|> 20190301 19:07:21.142 -|- INFO       -|- CheckPositionalArgs -|- 0x7fa356d1c740|| -|- REF  input file: ref/dpse-all-chromosome-r3.04.fasta
>|> 20190301 19:07:21.148 -|- INFO       -|- Index -|- 0x7fa356d1c740|| -|- Start reading/building index
>|> 20190301 19:07:26.838 -|- INFO       -|- Index -|- 0x7fa356d1c740|| -|- Finished reading/building index
>|> 20190301 19:11:17.859 -|- INFO       -|- operator() -|- 0x7fa34f7fe700|| -|- Merged sorted output from 2 files and 2 in-memory blocks
>|> 20190301 19:11:17.859 -|- INFO       -|- Close -|- 0x7fa356d1c740|| -|- Generating BAI
>|> 20190301 19:11:20.495 -|- INFO       -|- Runner -|- 0x7fa356d1c740|| -|- Mapped Reads: 46768
>|> 20190301 19:11:20.495 -|- INFO       -|- Runner -|- 0x7fa356d1c740|| -|- Alignments: 78984
>|> 20190301 19:11:20.495 -|- INFO       -|- Runner -|- 0x7fa356d1c740|| -|- Mapped Bases: 305514601
>|> 20190301 19:11:20.495 -|- INFO       -|- Runner -|- 0x7fa356d1c740|| -|- Mean Mapped Concordance: 85.5468%
>|> 20190301 19:11:20.495 -|- INFO       -|- Runner -|- 0x7fa356d1c740|| -|- Max Mapped Read Length: 26522
>|> 20190301 19:11:20.495 -|- INFO       -|- Runner -|- 0x7fa356d1c740|| -|- Mean Mapped Read Length: 3868.06
>|> 20190301 19:11:20.495 -|- INFO       -|- Runner -|- 0x7fa356d1c740|| -|- Index Build/Read Time: 6s 145ms 
>|> 20190301 19:11:20.495 -|- INFO       -|- Runner -|- 0x7fa356d1c740|| -|- Alignment Time: 3m 32s 
>|> 20190301 19:11:20.495 -|- INFO       -|- Runner -|- 0x7fa356d1c740|| -|- Sort Merge Time: 17s 604ms 
>|> 20190301 19:11:20.495 -|- INFO       -|- Runner -|- 0x7fa356d1c740|| -|- BAI Generation Time: 2s 635ms 
>|> 20190301 19:11:20.495 -|- INFO       -|- Runner -|- 0x7fa356d1c740|| -|- Run Time: 3m 59s 
>|> 20190301 19:11:20.495 -|- INFO       -|- Runner -|- 0x7fa356d1c740|| -|- CPU Time: 14m 37s 
>|> 20190301 19:11:20.495 -|- INFO       -|- Runner -|- 0x7fa356d1c740|| -|- Peak RSS: 3.19493 GB
