Job_1527_Pool3 5440_S16 bc1022_BAK8B--bc1022_BAK8B
sample 16
pool Job_1527_Pool3
bamfile bc1022_BAK8B--bc1022_BAK8B
>|> 20190301 19:10:06.326 -|- INFO       -|- AlignSettings -|- 0x7f36912cc740|| -|- Using 4 threads for alignments, 2 threads for sorting, and 1.5G bytes RAM for sorting.
>|> 20190301 19:10:06.345 -|- INFO       -|- CheckPositionalArgs -|- 0x7f36912cc740|| -|- READ input file: /dscrhome/kms173/work/iso_pac_bio/data/raw/Samuk_5440_20190226/Demultiplexed_Pools/Job_1527_Pool3/lima_output.bc1022_BAK8B--bc1022_BAK8B.bam
>|> 20190301 19:10:06.345 -|- INFO       -|- CheckPositionalArgs -|- 0x7f36912cc740|| -|- REF  input file: ref/dpse-all-chromosome-r3.04.fasta
>|> 20190301 19:10:06.369 -|- WARN       -|- CheckPositionalArgs -|- 0x7f36912cc740|| -|- Warning: Overwriting existing output file: /dscrhome/kms173/work/iso_pac_bio/data/bam/16.aligned.bam
>|> 20190301 19:10:06.378 -|- INFO       -|- Index -|- 0x7f36912cc740|| -|- Start reading/building index
>|> 20190301 19:10:11.777 -|- INFO       -|- Index -|- 0x7f36912cc740|| -|- Finished reading/building index
>|> 20190301 19:11:05.598 -|- INFO       -|- operator() -|- 0x7f368a7fc700|| -|- Merged sorted output from 0 files and 2 in-memory blocks
>|> 20190301 19:11:05.599 -|- INFO       -|- Close -|- 0x7f36912cc740|| -|- Generating BAI
>|> 20190301 19:11:06.525 -|- INFO       -|- Runner -|- 0x7f36912cc740|| -|- Mapped Reads: 12897
>|> 20190301 19:11:06.525 -|- INFO       -|- Runner -|- 0x7f36912cc740|| -|- Alignments: 20123
>|> 20190301 19:11:06.525 -|- INFO       -|- Runner -|- 0x7f36912cc740|| -|- Mapped Bases: 82841988
>|> 20190301 19:11:06.525 -|- INFO       -|- Runner -|- 0x7f36912cc740|| -|- Mean Mapped Concordance: 85.1735%
>|> 20190301 19:11:06.525 -|- INFO       -|- Runner -|- 0x7f36912cc740|| -|- Max Mapped Read Length: 22819
>|> 20190301 19:11:06.525 -|- INFO       -|- Runner -|- 0x7f36912cc740|| -|- Mean Mapped Read Length: 4116.78
>|> 20190301 19:11:06.525 -|- INFO       -|- Runner -|- 0x7f36912cc740|| -|- Index Build/Read Time: 5s 834ms 
>|> 20190301 19:11:06.525 -|- INFO       -|- Runner -|- 0x7f36912cc740|| -|- Alignment Time: 49s 411ms 
>|> 20190301 19:11:06.525 -|- INFO       -|- Runner -|- 0x7f36912cc740|| -|- Sort Merge Time: 3s 963ms 
>|> 20190301 19:11:06.525 -|- INFO       -|- Runner -|- 0x7f36912cc740|| -|- BAI Generation Time: 925ms 
>|> 20190301 19:11:06.525 -|- INFO       -|- Runner -|- 0x7f36912cc740|| -|- Run Time: 1m 665us 
>|> 20190301 19:11:06.525 -|- INFO       -|- Runner -|- 0x7f36912cc740|| -|- CPU Time: 3m 45s 
>|> 20190301 19:11:06.525 -|- INFO       -|- Runner -|- 0x7f36912cc740|| -|- Peak RSS: 2.02828 GB
