Job_1520_Pool4 5440_S18 bc1002_BAK8A--bc1002_BAK8A
sample 18
pool Job_1520_Pool4
bamfile bc1002_BAK8A--bc1002_BAK8A
>|> 20190301 19:11:14.281 -|- INFO       -|- AlignSettings -|- 0x7fdf1e880740|| -|- Using 4 threads for alignments, 2 threads for sorting, and 1.5G bytes RAM for sorting.
>|> 20190301 19:11:14.363 -|- INFO       -|- CheckPositionalArgs -|- 0x7fdf1e880740|| -|- READ input file: /dscrhome/kms173/work/iso_pac_bio/data/raw/Samuk_5440_20190226/Demultiplexed_Pools/Job_1520_Pool4/lima_output.bc1002_BAK8A--bc1002_BAK8A.bam
>|> 20190301 19:11:14.363 -|- INFO       -|- CheckPositionalArgs -|- 0x7fdf1e880740|| -|- REF  input file: ref/dpse-all-chromosome-r3.04.fasta
>|> 20190301 19:11:14.367 -|- WARN       -|- CheckPositionalArgs -|- 0x7fdf1e880740|| -|- Warning: Overwriting existing output file: /dscrhome/kms173/work/iso_pac_bio/data/bam/18.aligned.bam
>|> 20190301 19:11:14.369 -|- INFO       -|- Index -|- 0x7fdf1e880740|| -|- Start reading/building index
>|> 20190301 19:11:19.740 -|- INFO       -|- Index -|- 0x7fdf1e880740|| -|- Finished reading/building index
>|> 20190301 19:19:01.733 -|- INFO       -|- operator() -|- 0x7fdf177fe700|| -|- Merged sorted output from 6 files and 2 in-memory blocks
>|> 20190301 19:19:01.733 -|- INFO       -|- Close -|- 0x7fdf1e880740|| -|- Generating BAI
>|> 20190301 19:19:07.374 -|- INFO       -|- Runner -|- 0x7fdf1e880740|| -|- Mapped Reads: 99770
>|> 20190301 19:19:07.374 -|- INFO       -|- Runner -|- 0x7fdf1e880740|| -|- Alignments: 157384
>|> 20190301 19:19:07.374 -|- INFO       -|- Runner -|- 0x7fdf1e880740|| -|- Mapped Bases: 753912163
>|> 20190301 19:19:07.374 -|- INFO       -|- Runner -|- 0x7fdf1e880740|| -|- Mean Mapped Concordance: 85.9652%
>|> 20190301 19:19:07.374 -|- INFO       -|- Runner -|- 0x7fdf1e880740|| -|- Max Mapped Read Length: 30367
>|> 20190301 19:19:07.374 -|- INFO       -|- Runner -|- 0x7fdf1e880740|| -|- Mean Mapped Read Length: 4790.27
>|> 20190301 19:19:07.374 -|- INFO       -|- Runner -|- 0x7fdf1e880740|| -|- Index Build/Read Time: 5s 820ms 
>|> 20190301 19:19:07.374 -|- INFO       -|- Runner -|- 0x7fdf1e880740|| -|- Alignment Time: 7m 4s 
>|> 20190301 19:19:07.374 -|- INFO       -|- Runner -|- 0x7fdf1e880740|| -|- Sort Merge Time: 36s 559ms 
>|> 20190301 19:19:07.374 -|- INFO       -|- Runner -|- 0x7fdf1e880740|| -|- BAI Generation Time: 5s 640ms 
>|> 20190301 19:19:07.374 -|- INFO       -|- Runner -|- 0x7fdf1e880740|| -|- Run Time: 7m 53s 
>|> 20190301 19:19:07.374 -|- INFO       -|- Runner -|- 0x7fdf1e880740|| -|- CPU Time: 31m 58s 
>|> 20190301 19:19:07.374 -|- INFO       -|- Runner -|- 0x7fdf1e880740|| -|- Peak RSS: 3.24343 GB
