Job_1520_Pool4 5440_S20 bc1008_BAK8A--bc1008_BAK8A
sample 20
pool Job_1520_Pool4
bamfile bc1008_BAK8A--bc1008_BAK8A
>|> 20190301 19:11:37.878 -|- INFO       -|- AlignSettings -|- 0x7f22ec646740|| -|- Using 4 threads for alignments, 2 threads for sorting, and 1.5G bytes RAM for sorting.
>|> 20190301 19:11:38.100 -|- INFO       -|- CheckPositionalArgs -|- 0x7f22ec646740|| -|- READ input file: /dscrhome/kms173/work/iso_pac_bio/data/raw/Samuk_5440_20190226/Demultiplexed_Pools/Job_1520_Pool4/lima_output.bc1008_BAK8A--bc1008_BAK8A.bam
>|> 20190301 19:11:38.100 -|- INFO       -|- CheckPositionalArgs -|- 0x7f22ec646740|| -|- REF  input file: ref/dpse-all-chromosome-r3.04.fasta
>|> 20190301 19:11:38.107 -|- WARN       -|- CheckPositionalArgs -|- 0x7f22ec646740|| -|- Warning: Overwriting existing output file: /dscrhome/kms173/work/iso_pac_bio/data/bam/20.aligned.bam
>|> 20190301 19:11:38.109 -|- INFO       -|- Index -|- 0x7f22ec646740|| -|- Start reading/building index
>|> 20190301 19:11:43.507 -|- INFO       -|- Index -|- 0x7f22ec646740|| -|- Finished reading/building index
>|> 20190301 19:19:14.541 -|- INFO       -|- operator() -|- 0x7f22e9d7d700|| -|- Merged sorted output from 8 files and 2 in-memory blocks
>|> 20190301 19:19:14.541 -|- INFO       -|- Close -|- 0x7f22ec646740|| -|- Generating BAI
>|> 20190301 19:19:21.693 -|- INFO       -|- Runner -|- 0x7f22ec646740|| -|- Mapped Reads: 122313
>|> 20190301 19:19:21.693 -|- INFO       -|- Runner -|- 0x7f22ec646740|| -|- Alignments: 187123
>|> 20190301 19:19:21.693 -|- INFO       -|- Runner -|- 0x7f22ec646740|| -|- Mapped Bases: 932554269
>|> 20190301 19:19:21.693 -|- INFO       -|- Runner -|- 0x7f22ec646740|| -|- Mean Mapped Concordance: 87.6636%
>|> 20190301 19:19:21.693 -|- INFO       -|- Runner -|- 0x7f22ec646740|| -|- Max Mapped Read Length: 34411
>|> 20190301 19:19:21.693 -|- INFO       -|- Runner -|- 0x7f22ec646740|| -|- Mean Mapped Read Length: 4983.64
>|> 20190301 19:19:21.693 -|- INFO       -|- Runner -|- 0x7f22ec646740|| -|- Index Build/Read Time: 5s 847ms 
>|> 20190301 19:19:21.693 -|- INFO       -|- Runner -|- 0x7f22ec646740|| -|- Alignment Time: 6m 47s 
>|> 20190301 19:19:21.693 -|- INFO       -|- Runner -|- 0x7f22ec646740|| -|- Sort Merge Time: 43s 225ms 
>|> 20190301 19:19:21.693 -|- INFO       -|- Runner -|- 0x7f22ec646740|| -|- BAI Generation Time: 7s 150ms 
>|> 20190301 19:19:21.693 -|- INFO       -|- Runner -|- 0x7f22ec646740|| -|- Run Time: 7m 43s 
>|> 20190301 19:19:21.693 -|- INFO       -|- Runner -|- 0x7f22ec646740|| -|- CPU Time: 31m 47s 
>|> 20190301 19:19:21.693 -|- INFO       -|- Runner -|- 0x7f22ec646740|| -|- Peak RSS: 3.20813 GB
