pop line plate Indiv CHROM_schf crossovers
AFC AFC_14 AFC_14_15 AFC_14_15_B02 2 1
AFC AFC_14 AFC_14_15 AFC_14_15_B02 3 0
AFC AFC_14 AFC_14_15 AFC_14_15_B02 4 0
AFC AFC_14 AFC_14_15 AFC_14_15_B02 XL 1
AFC AFC_14 AFC_14_15 AFC_14_15_B02 XR 0
AFC AFC_14 AFC_14_15 AFC_14_15_B03 2 0
AFC AFC_14 AFC_14_15 AFC_14_15_B03 3 0
AFC AFC_14 AFC_14_15 AFC_14_15_B03 4 1
AFC AFC_14 AFC_14_15 AFC_14_15_B03 XL 0
AFC AFC_14 AFC_14_15 AFC_14_15_B03 XR 2
AFC AFC_14 AFC_14_15 AFC_14_15_B04 2 1
AFC AFC_14 AFC_14_15 AFC_14_15_B04 3 1
AFC AFC_14 AFC_14_15 AFC_14_15_B04 4 0
AFC AFC_14 AFC_14_15 AFC_14_15_B04 XL 0
AFC AFC_14 AFC_14_15 AFC_14_15_B04 XR 1
AFC AFC_14 AFC_14_15 AFC_14_15_B05 2 2
AFC AFC_14 AFC_14_15 AFC_14_15_B05 3 0
AFC AFC_14 AFC_14_15 AFC_14_15_B05 4 2
AFC AFC_14 AFC_14_15 AFC_14_15_B05 XL 1
AFC AFC_14 AFC_14_15 AFC_14_15_B05 XR 1
AFC AFC_14 AFC_14_15 AFC_14_15_B06 2 2
AFC AFC_14 AFC_14_15 AFC_14_15_B06 3 0
AFC AFC_14 AFC_14_15 AFC_14_15_B06 4 0
AFC AFC_14 AFC_14_15 AFC_14_15_B06 XL 1
AFC AFC_14 AFC_14_15 AFC_14_15_B06 XR 1
AFC AFC_14 AFC_14_15 AFC_14_15_C01 2 2
AFC AFC_14 AFC_14_15 AFC_14_15_C01 3 1
AFC AFC_14 AFC_14_15 AFC_14_15_C01 4 1
AFC AFC_14 AFC_14_15 AFC_14_15_C01 XL 1
AFC AFC_14 AFC_14_15 AFC_14_15_C01 XR 0
AFC AFC_14 AFC_14_15 AFC_14_15_C02 2 1
AFC AFC_14 AFC_14_15 AFC_14_15_C02 3 1
AFC AFC_14 AFC_14_15 AFC_14_15_C02 4 0
AFC AFC_14 AFC_14_15 AFC_14_15_C02 XL 1
AFC AFC_14 AFC_14_15 AFC_14_15_C02 XR 1
AFC AFC_14 AFC_14_15 AFC_14_15_C03 2 1
AFC AFC_14 AFC_14_15 AFC_14_15_C03 3 1
AFC AFC_14 AFC_14_15 AFC_14_15_C03 4 1
AFC AFC_14 AFC_14_15 AFC_14_15_C03 XL 1
AFC AFC_14 AFC_14_15 AFC_14_15_C03 XR 2
AFC AFC_14 AFC_14_15 AFC_14_15_C04 2 2
AFC AFC_14 AFC_14_15 AFC_14_15_C04 3 1
AFC AFC_14 AFC_14_15 AFC_14_15_C04 4 0
AFC AFC_14 AFC_14_15 AFC_14_15_C04 XL 0
AFC AFC_14 AFC_14_15 AFC_14_15_C04 XR 0
AFC AFC_14 AFC_14_15 AFC_14_15_C05 2 0
AFC AFC_14 AFC_14_15 AFC_14_15_C05 3 0
AFC AFC_14 AFC_14_15 AFC_14_15_C05 4 0
AFC AFC_14 AFC_14_15 AFC_14_15_C05 XL 2
AFC AFC_14 AFC_14_15 AFC_14_15_C05 XR 1
AFC AFC_14 AFC_14_15 AFC_14_15_C06 2 2
AFC AFC_14 AFC_14_15 AFC_14_15_C06 3 1
AFC AFC_14 AFC_14_15 AFC_14_15_C06 4 2
AFC AFC_14 AFC_14_15 AFC_14_15_C06 XL 1
AFC AFC_14 AFC_14_15 AFC_14_15_C06 XR 1
AFC AFC_14 AFC_14_15 AFC_14_15_C07 2 1
AFC AFC_14 AFC_14_15 AFC_14_15_C07 3 1
AFC AFC_14 AFC_14_15 AFC_14_15_C07 4 0
AFC AFC_14 AFC_14_15 AFC_14_15_C07 XL 1
AFC AFC_14 AFC_14_15 AFC_14_15_C07 XR 1
AFC AFC_14 AFC_14_15 AFC_14_15_C08 2 2
AFC AFC_14 AFC_14_15 AFC_14_15_C08 3 0
AFC AFC_14 AFC_14_15 AFC_14_15_C08 4 1
AFC AFC_14 AFC_14_15 AFC_14_15_C08 XL 1
AFC AFC_14 AFC_14_15 AFC_14_15_C08 XR 1
AFC AFC_14 AFC_14_15 AFC_14_15_C10 2 0
AFC AFC_14 AFC_14_15 AFC_14_15_C10 3 1
AFC AFC_14 AFC_14_15 AFC_14_15_C10 4 0
AFC AFC_14 AFC_14_15 AFC_14_15_C10 XL 0
AFC AFC_14 AFC_14_15 AFC_14_15_C10 XR 2
AFC AFC_14 AFC_14_15 AFC_14_15_C11 2 1
AFC AFC_14 AFC_14_15 AFC_14_15_C11 3 2
AFC AFC_14 AFC_14_15 AFC_14_15_C11 4 1
AFC AFC_14 AFC_14_15 AFC_14_15_C11 XL 0
AFC AFC_14 AFC_14_15 AFC_14_15_C11 XR 1
AFC AFC_14 AFC_14_15 AFC_14_15_C12 2 1
AFC AFC_14 AFC_14_15 AFC_14_15_C12 3 0
AFC AFC_14 AFC_14_15 AFC_14_15_C12 4 0
AFC AFC_14 AFC_14_15 AFC_14_15_C12 XL 0
AFC AFC_14 AFC_14_15 AFC_14_15_C12 XR 0
AFC AFC_14 AFC_14_15 AFC_14_15_D01 2 1
AFC AFC_14 AFC_14_15 AFC_14_15_D01 3 1
AFC AFC_14 AFC_14_15 AFC_14_15_D01 4 0
AFC AFC_14 AFC_14_15 AFC_14_15_D01 XL 0
AFC AFC_14 AFC_14_15 AFC_14_15_D01 XR 0
AFC AFC_14 AFC_14_15 AFC_14_15_D02 2 1
AFC AFC_14 AFC_14_15 AFC_14_15_D02 3 0
AFC AFC_14 AFC_14_15 AFC_14_15_D02 4 1
AFC AFC_14 AFC_14_15 AFC_14_15_D02 XL 1
AFC AFC_14 AFC_14_15 AFC_14_15_D02 XR 0
AFC AFC_14 AFC_14_15 AFC_14_15_D03 2 0
AFC AFC_14 AFC_14_15 AFC_14_15_D03 3 1
AFC AFC_14 AFC_14_15 AFC_14_15_D03 4 2
AFC AFC_14 AFC_14_15 AFC_14_15_D03 XL 2
AFC AFC_14 AFC_14_15 AFC_14_15_D03 XR 1
AFC AFC_14 AFC_14_15 AFC_14_15_D04 2 1
AFC AFC_14 AFC_14_15 AFC_14_15_D04 3 0
AFC AFC_14 AFC_14_15 AFC_14_15_D04 4 0
AFC AFC_14 AFC_14_15 AFC_14_15_D04 XL 2
AFC AFC_14 AFC_14_15 AFC_14_15_D04 XR 1
AFC AFC_14 AFC_14_15 AFC_14_15_D05 2 2
AFC AFC_14 AFC_14_15 AFC_14_15_D05 3 2
AFC AFC_14 AFC_14_15 AFC_14_15_D05 4 1
AFC AFC_14 AFC_14_15 AFC_14_15_D05 XL 1
AFC AFC_14 AFC_14_15 AFC_14_15_D05 XR 2
AFC AFC_14 AFC_14_15 AFC_14_15_D06 2 2
AFC AFC_14 AFC_14_15 AFC_14_15_D06 3 2
AFC AFC_14 AFC_14_15 AFC_14_15_D06 4 0
AFC AFC_14 AFC_14_15 AFC_14_15_D06 XL 0
AFC AFC_14 AFC_14_15 AFC_14_15_D06 XR 1
AFC AFC_14 AFC_14_15 AFC_14_15_D07 2 1
AFC AFC_14 AFC_14_15 AFC_14_15_D07 3 2
AFC AFC_14 AFC_14_15 AFC_14_15_D07 4 0
AFC AFC_14 AFC_14_15 AFC_14_15_D07 XL 0
AFC AFC_14 AFC_14_15 AFC_14_15_D07 XR 1
AFC AFC_14 AFC_14_15 AFC_14_15_D08 2 1
AFC AFC_14 AFC_14_15 AFC_14_15_D08 3 0
AFC AFC_14 AFC_14_15 AFC_14_15_D08 4 2
AFC AFC_14 AFC_14_15 AFC_14_15_D08 XL 1
AFC AFC_14 AFC_14_15 AFC_14_15_D08 XR 1
AFC AFC_14 AFC_14_15 AFC_14_15_D09 2 0
AFC AFC_14 AFC_14_15 AFC_14_15_D09 3 0
AFC AFC_14 AFC_14_15 AFC_14_15_D09 4 1
AFC AFC_14 AFC_14_15 AFC_14_15_D09 XL 0
AFC AFC_14 AFC_14_15 AFC_14_15_D09 XR 1
AFC AFC_14 AFC_14_15 AFC_14_15_D10 2 0
AFC AFC_14 AFC_14_15 AFC_14_15_D10 3 0
AFC AFC_14 AFC_14_15 AFC_14_15_D10 4 1
AFC AFC_14 AFC_14_15 AFC_14_15_D10 XL 1
AFC AFC_14 AFC_14_15 AFC_14_15_D10 XR 2
AFC AFC_14 AFC_14_15 AFC_14_15_E01 2 0
AFC AFC_14 AFC_14_15 AFC_14_15_E01 3 0
AFC AFC_14 AFC_14_15 AFC_14_15_E01 4 1
AFC AFC_14 AFC_14_15 AFC_14_15_E01 XL 1
AFC AFC_14 AFC_14_15 AFC_14_15_E01 XR 1
AFC AFC_14 AFC_14_15 AFC_14_15_E02 2 1
AFC AFC_14 AFC_14_15 AFC_14_15_E02 3 1
AFC AFC_14 AFC_14_15 AFC_14_15_E02 4 1
AFC AFC_14 AFC_14_15 AFC_14_15_E02 XL 0
AFC AFC_14 AFC_14_15 AFC_14_15_E02 XR 0
AFC AFC_14 AFC_14_15 AFC_14_15_E03 2 0
AFC AFC_14 AFC_14_15 AFC_14_15_E03 3 1
AFC AFC_14 AFC_14_15 AFC_14_15_E03 4 1
AFC AFC_14 AFC_14_15 AFC_14_15_E03 XL 1
AFC AFC_14 AFC_14_15 AFC_14_15_E03 XR 2
AFC AFC_14 AFC_14_15 AFC_14_15_E04 2 1
AFC AFC_14 AFC_14_15 AFC_14_15_E04 3 0
AFC AFC_14 AFC_14_15 AFC_14_15_E04 4 2
AFC AFC_14 AFC_14_15 AFC_14_15_E04 XL 1
AFC AFC_14 AFC_14_15 AFC_14_15_E04 XR 1
AFC AFC_14 AFC_14_15 AFC_14_15_E05 2 1
AFC AFC_14 AFC_14_15 AFC_14_15_E05 3 0
AFC AFC_14 AFC_14_15 AFC_14_15_E05 4 2
AFC AFC_14 AFC_14_15 AFC_14_15_E05 XL 1
AFC AFC_14 AFC_14_15 AFC_14_15_E05 XR 0
AFC AFC_14 AFC_14_15 AFC_14_15_E06 2 1
AFC AFC_14 AFC_14_15 AFC_14_15_E06 3 0
AFC AFC_14 AFC_14_15 AFC_14_15_E06 4 1
AFC AFC_14 AFC_14_15 AFC_14_15_E06 XL 0
AFC AFC_14 AFC_14_15 AFC_14_15_E06 XR 1
AFC AFC_14 AFC_14_15 AFC_14_15_E07 2 2
AFC AFC_14 AFC_14_15 AFC_14_15_E07 3 1
AFC AFC_14 AFC_14_15 AFC_14_15_E07 4 1
AFC AFC_14 AFC_14_15 AFC_14_15_E07 XL 0
AFC AFC_14 AFC_14_15 AFC_14_15_E07 XR 1
AFC AFC_14 AFC_14_15 AFC_14_15_E08 2 1
AFC AFC_14 AFC_14_15 AFC_14_15_E08 3 0
AFC AFC_14 AFC_14_15 AFC_14_15_E08 4 0
AFC AFC_14 AFC_14_15 AFC_14_15_E08 XL 2
AFC AFC_14 AFC_14_15 AFC_14_15_E08 XR 1
AFC AFC_14 AFC_14_15 AFC_14_15_E09 2 0
AFC AFC_14 AFC_14_15 AFC_14_15_E09 3 1
AFC AFC_14 AFC_14_15 AFC_14_15_E09 4 1
AFC AFC_14 AFC_14_15 AFC_14_15_E09 XL 0
AFC AFC_14 AFC_14_15 AFC_14_15_E09 XR 1
AFC AFC_14 AFC_14_15 AFC_14_15_E10 2 1
AFC AFC_14 AFC_14_15 AFC_14_15_E10 3 1
AFC AFC_14 AFC_14_15 AFC_14_15_E10 4 1
AFC AFC_14 AFC_14_15 AFC_14_15_E10 XL 0
AFC AFC_14 AFC_14_15 AFC_14_15_E10 XR 2
AFC AFC_14 AFC_14_15 AFC_14_15_E11 2 2
AFC AFC_14 AFC_14_15 AFC_14_15_E11 3 1
AFC AFC_14 AFC_14_15 AFC_14_15_E11 4 2
AFC AFC_14 AFC_14_15 AFC_14_15_E11 XL 1
AFC AFC_14 AFC_14_15 AFC_14_15_E11 XR 1
AFC AFC_14 AFC_14_15 AFC_14_15_E12 2 2
AFC AFC_14 AFC_14_15 AFC_14_15_E12 3 1
AFC AFC_14 AFC_14_15 AFC_14_15_E12 4 1
AFC AFC_14 AFC_14_15 AFC_14_15_E12 XL 0
AFC AFC_14 AFC_14_15 AFC_14_15_E12 XR 0
AFC AFC_14 AFC_14_15 AFC_14_15_F01 2 2
AFC AFC_14 AFC_14_15 AFC_14_15_F01 3 0
AFC AFC_14 AFC_14_15 AFC_14_15_F01 4 0
AFC AFC_14 AFC_14_15 AFC_14_15_F01 XL 0
AFC AFC_14 AFC_14_15 AFC_14_15_F01 XR 2
AFC AFC_14 AFC_14_15 AFC_14_15_F02 2 1
AFC AFC_14 AFC_14_15 AFC_14_15_F02 3 0
AFC AFC_14 AFC_14_15 AFC_14_15_F02 4 1
AFC AFC_14 AFC_14_15 AFC_14_15_F02 XL 0
AFC AFC_14 AFC_14_15 AFC_14_15_F02 XR 0
AFC AFC_14 AFC_14_15 AFC_14_15_F03 2 0
AFC AFC_14 AFC_14_15 AFC_14_15_F03 3 2
AFC AFC_14 AFC_14_15 AFC_14_15_F03 4 1
AFC AFC_14 AFC_14_15 AFC_14_15_F03 XL 0
AFC AFC_14 AFC_14_15 AFC_14_15_F03 XR 2
AFC AFC_14 AFC_14_15 AFC_14_15_F04 2 2
AFC AFC_14 AFC_14_15 AFC_14_15_F04 3 0
AFC AFC_14 AFC_14_15 AFC_14_15_F04 4 1
AFC AFC_14 AFC_14_15 AFC_14_15_F04 XL 0
AFC AFC_14 AFC_14_15 AFC_14_15_F04 XR 0
AFC AFC_14 AFC_14_15 AFC_14_15_F05 2 1
AFC AFC_14 AFC_14_15 AFC_14_15_F05 3 1
AFC AFC_14 AFC_14_15 AFC_14_15_F05 4 1
AFC AFC_14 AFC_14_15 AFC_14_15_F05 XL 1
AFC AFC_14 AFC_14_15 AFC_14_15_F05 XR 1
AFC AFC_14 AFC_14_15 AFC_14_15_F06 2 3
AFC AFC_14 AFC_14_15 AFC_14_15_F06 3 0
AFC AFC_14 AFC_14_15 AFC_14_15_F06 4 0
AFC AFC_14 AFC_14_15 AFC_14_15_F06 XL 1
AFC AFC_14 AFC_14_15 AFC_14_15_F06 XR 1
AFC AFC_14 AFC_14_15 AFC_14_15_F08 2 1
AFC AFC_14 AFC_14_15 AFC_14_15_F08 3 1
AFC AFC_14 AFC_14_15 AFC_14_15_F08 4 1
AFC AFC_14 AFC_14_15 AFC_14_15_F08 XL 0
AFC AFC_14 AFC_14_15 AFC_14_15_F08 XR 1
AFC AFC_14 AFC_14_15 AFC_14_15_F09 2 2
AFC AFC_14 AFC_14_15 AFC_14_15_F09 3 0
AFC AFC_14 AFC_14_15 AFC_14_15_F09 4 2
AFC AFC_14 AFC_14_15 AFC_14_15_F09 XL 0
AFC AFC_14 AFC_14_15 AFC_14_15_F09 XR 1
AFC AFC_14 AFC_14_15 AFC_14_15_F10 2 1
AFC AFC_14 AFC_14_15 AFC_14_15_F10 3 1
AFC AFC_14 AFC_14_15 AFC_14_15_F10 4 0
AFC AFC_14 AFC_14_15 AFC_14_15_F10 XL 0
AFC AFC_14 AFC_14_15 AFC_14_15_F10 XR 2
AFC AFC_14 AFC_14_15 AFC_14_15_F11 2 0
AFC AFC_14 AFC_14_15 AFC_14_15_F11 3 1
AFC AFC_14 AFC_14_15 AFC_14_15_F11 4 1
AFC AFC_14 AFC_14_15 AFC_14_15_F11 XL 1
AFC AFC_14 AFC_14_15 AFC_14_15_F11 XR 1
AFC AFC_14 AFC_14_15 AFC_14_15_F12 2 0
