pop line mean_co
1 AFC AFC_14 0.768267223382046
2 AFC AFC_19 0.930573248407643
3 AFC AFC_24 0.897872340425532
4 AFC AFC_30 0.889767441860465
5 AFC AFC_47 0.8376
6 AFC AFC_48 0.841425389755011
7 AFC AFC_49 0.820278330019881
8 AFC AFC_56 0.890677966101695
9 AFC AFC_57 0.788957055214724
10 AFC AFC_60 0.849388753056235
11 MC MC_13 0.731568228105906
12 MC MC_14 0.847560975609756
13 MC MC_15 0.820718816067653
14 MC MC_17 0.859473684210526
15 MC MC_20 0.827935222672065
16 MC MC_27 0.83915547024952
17 MC MC_6 0.72520325203252
