id xo_count_rqtl
AFC_48_15_A01 3
AFC_48_15_A02 4
AFC_48_15_A03 5
AFC_48_15_A04 5
AFC_48_15_A05 5
AFC_48_15_A07 6
AFC_48_15_A09 4
AFC_48_15_A11 7
AFC_48_15_A12 3
AFC_48_15_B01 3
AFC_48_15_B02 5
AFC_48_15_B03 3
AFC_48_15_B04 4
AFC_48_15_B05 5
AFC_48_15_B06 7
AFC_48_15_B07 8
AFC_48_15_B08 6
AFC_48_15_B09 3
AFC_48_15_B10 7
AFC_48_15_B11 4
AFC_48_15_B12 3
AFC_48_15_C01 9
AFC_48_15_C02 3
AFC_48_15_C03 2
AFC_48_15_C04 2
AFC_48_15_C05 4
AFC_48_15_C07 7
AFC_48_15_C08 3
AFC_48_15_C09 6
AFC_48_15_C10 4
AFC_48_15_C12 4
AFC_48_15_D01 5
AFC_48_15_D02 5
AFC_48_15_D03 6
AFC_48_15_D04 6
AFC_48_15_D05 4
AFC_48_15_D06 0
AFC_48_15_D07 3
AFC_48_15_D08 2
AFC_48_15_D09 3
AFC_48_15_D10 8
AFC_48_15_D11 9
AFC_48_15_D12 5
AFC_48_15_E01 6
AFC_48_15_E02 5
AFC_48_15_E03 4
AFC_48_15_E04 3
AFC_48_15_E05 4
AFC_48_15_E06 8
AFC_48_15_E07 5
AFC_48_15_E08 5
AFC_48_15_E09 6
AFC_48_15_E10 6
AFC_48_15_E11 3
AFC_48_15_E12 2
AFC_48_15_F01 3
AFC_48_15_F02 9
AFC_48_15_F03 5
AFC_48_15_F04 4
AFC_48_15_F05 4
AFC_48_15_F06 5
AFC_48_15_F07 3
AFC_48_15_F08 4
AFC_48_15_F11 3
AFC_48_15_F12 3
AFC_48_15_G02 3
AFC_48_15_G03 6
AFC_48_15_G04 4
AFC_48_15_G05 6
AFC_48_15_G06 3
AFC_48_15_G07 6
AFC_48_15_G08 4
AFC_48_15_G10 3
AFC_48_15_G11 2
AFC_48_15_G12 7
AFC_48_15_H01 3
AFC_48_15_H02 3
AFC_48_15_H03 6
AFC_48_15_H04 5
AFC_48_15_H05 3
AFC_48_15_H06 6
AFC_48_15_H07 5
AFC_48_15_H08 7
AFC_48_15_H09 1
AFC_48_15_H10 4
