id xo_count_rqtl
MC_6_15_A04 4
MC_6_15_A05 5
MC_6_15_A06 3
MC_6_15_A07 5
MC_6_15_A08 5
MC_6_15_A09 3
MC_6_15_A10 5
MC_6_15_A11 3
MC_6_15_A12 4
MC_6_15_B01 4
MC_6_15_B02 4
MC_6_15_B03 3
MC_6_15_B04 5
MC_6_15_B05 2
MC_6_15_B06 2
MC_6_15_B07 5
MC_6_15_B08 3
MC_6_15_B09 6
MC_6_15_B10 5
MC_6_15_B11 2
MC_6_15_B12 4
MC_6_15_C01 6
MC_6_15_C02 5
MC_6_15_C03 3
MC_6_15_C04 4
MC_6_15_C05 2
MC_6_15_C06 4
MC_6_15_C07 3
MC_6_15_C08 3
MC_6_15_C09 4
MC_6_15_C10 3
MC_6_15_C11 4
MC_6_15_C12 7
MC_6_15_D01 2
MC_6_15_D02 4
MC_6_15_D03 4
MC_6_15_D04 4
MC_6_15_D05 7
MC_6_15_D06 5
MC_6_15_D07 3
MC_6_15_D08 2
MC_6_15_D09 1
MC_6_15_D10 3
MC_6_15_D11 3
MC_6_15_D12 3
MC_6_15_E01 5
MC_6_15_E02 1
MC_6_15_E03 5
MC_6_15_E04 9
MC_6_15_E05 3
MC_6_15_E06 3
MC_6_15_E07 4
MC_6_15_E08 5
MC_6_15_E09 6
MC_6_15_E10 8
MC_6_15_E11 2
MC_6_15_E12 4
MC_6_15_F01 4
MC_6_15_F02 7
MC_6_15_F03 3
MC_6_15_F04 3
MC_6_15_F05 3
MC_6_15_F06 5
MC_6_15_F07 1
MC_6_15_F08 5
MC_6_15_F09 1
MC_6_15_F10 5
MC_6_15_F11 4
MC_6_15_F12 3
MC_6_15_G01 3
MC_6_15_G02 3
MC_6_15_G03 5
MC_6_15_G04 4
MC_6_15_G05 4
MC_6_15_G06 6
MC_6_15_G07 5
MC_6_15_G08 3
MC_6_15_G10 5
MC_6_15_G11 8
MC_6_15_G12 5
MC_6_15_H01 2
MC_6_15_H02 3
MC_6_15_H03 6
MC_6_15_H05 5
MC_6_15_H06 3
MC_6_15_H07 5
MC_6_15_H08 2
MC_6_15_H09 4
MC_6_15_H10 1
MC_6_16_A12 2
MC_6_16_B01 3
MC_6_16_B03 6
MC_6_16_B05 4
MC_6_16_B06 3
MC_6_16_B07 4
MC_6_16_B08 4
MC_6_16_B09 4
MC_6_16_B11 2
MC_6_16_B12 3
MC_6_16_C02 3
MC_6_16_C04 4
MC_6_16_C05 7
MC_6_16_C06 7
MC_6_16_C07 2
MC_6_16_C08 2
MC_6_16_C09 3
MC_6_16_C10 7
MC_6_16_C11 2
MC_6_16_C12 9
MC_6_16_D01 5
MC_6_16_D02 2
MC_6_16_D04 2
MC_6_16_D05 1
MC_6_16_D06 6
MC_6_16_D07 4
MC_6_16_D08 6
MC_6_16_D09 3
MC_6_16_D10 2
MC_6_16_D11 5
MC_6_16_D12 6
MC_6_16_E01 4
MC_6_16_E02 5
MC_6_16_E03 5
MC_6_16_E05 3
MC_6_16_E06 2
MC_6_16_E07 2
MC_6_16_E08 5
MC_6_16_E09 4
MC_6_16_E10 1
MC_6_16_E11 5
MC_6_16_E12 2
MC_6_16_F01 3
MC_6_16_F02 3
MC_6_16_F03 5
MC_6_16_F05 7
MC_6_16_F06 8
MC_6_16_F07 2
MC_6_16_F08 2
MC_6_16_F09 6
MC_6_16_F10 4
MC_6_16_F11 8
MC_6_16_F12 7
MC_6_16_G01 3
MC_6_16_G02 5
MC_6_16_G03 4
MC_6_16_G04 6
MC_6_16_G05 1
MC_6_16_G07 5
MC_6_16_G08 2
MC_6_16_G09 3
MC_6_16_G10 2
MC_6_16_G11 2
MC_6_16_G12 3
MC_6_16_H01 4
MC_6_16_H02 5
MC_6_16_H03 2
MC_6_16_H04 4
MC_6_16_H05 3
MC_6_16_H06 4
MC_6_16_H07 2
MC_6_16_H08 5
MC_6_16_H09 5
MC_6_16_H10 4
MC_6_16_H11 3
MC_6_16_H12 4
MC_6_17_A04 3
MC_6_17_B01 3
MC_6_17_B02 3
MC_6_17_B03 3
MC_6_17_B05 3
MC_6_17_B06 4
MC_6_17_B07 6
MC_6_17_B08 7
MC_6_17_B09 5
MC_6_17_B10 5
MC_6_17_B11 3
MC_6_17_B12 4
MC_6_17_C01 3
MC_6_17_C02 3
MC_6_17_C03 4
MC_6_17_C04 4
MC_6_17_C05 5
MC_6_17_C06 4
MC_6_17_C07 4
MC_6_17_C08 4
MC_6_17_C09 4
MC_6_17_C10 3
MC_6_17_C11 2
MC_6_17_C12 2
MC_6_17_D01 1
MC_6_17_D02 6
MC_6_17_D03 6
MC_6_17_D04 3
MC_6_17_D05 3
MC_6_17_D06 2
MC_6_17_D07 2
MC_6_17_D08 3
MC_6_17_D09 4
MC_6_17_D10 5
MC_6_17_D11 5
MC_6_17_D12 4
MC_6_17_E01 4
MC_6_17_E02 3
MC_6_17_E03 4
MC_6_17_E04 4
MC_6_17_E05 4
MC_6_17_E06 5
MC_6_17_E07 0
MC_6_17_E08 4
MC_6_17_E09 3
MC_6_17_E10 3
MC_6_17_E11 4
MC_6_17_E12 5
MC_6_17_F01 4
MC_6_17_F02 4
MC_6_17_F03 2
MC_6_17_F04 1
MC_6_17_F05 3
MC_6_17_F06 3
MC_6_17_F07 6
MC_6_17_F08 3
