id xo_count_rqtl
AFC_14_15_B02 2
AFC_14_15_B03 5
AFC_14_15_B04 4
AFC_14_15_B05 6
AFC_14_15_B06 4
AFC_14_15_C01 7
AFC_14_15_C02 4
AFC_14_15_C03 8
AFC_14_15_C04 5
AFC_14_15_C05 3
AFC_14_15_C06 9
AFC_14_15_C07 4
AFC_14_15_C08 6
AFC_14_15_C10 4
AFC_14_15_C11 7
AFC_14_15_C12 3
AFC_14_15_D01 2
AFC_14_15_D02 3
AFC_14_15_D03 6
AFC_14_15_D04 4
AFC_14_15_D05 8
AFC_14_15_D06 5
AFC_14_15_D07 4
AFC_14_15_D08 5
AFC_14_15_D09 2
AFC_14_15_D10 6
AFC_14_15_E01 6
AFC_14_15_E02 7
AFC_14_15_E03 5
AFC_14_15_E04 6
AFC_14_15_E05 4
AFC_14_15_E06 3
AFC_14_15_E07 6
AFC_14_15_E08 4
AFC_14_15_E09 3
AFC_14_15_E10 8
AFC_14_15_E11 7
AFC_14_15_E12 4
AFC_14_15_F01 4
AFC_14_15_F02 4
AFC_14_15_F03 7
AFC_14_15_F04 7
AFC_14_15_F05 5
AFC_14_15_F06 5
AFC_14_15_F08 5
AFC_14_15_F09 7
AFC_14_15_F10 4
AFC_14_15_F11 5
AFC_14_15_F12 8
AFC_14_15_G01 6
AFC_14_15_G02 7
AFC_14_15_G03 6
AFC_14_15_G04 2
AFC_14_15_G05 7
AFC_14_15_G06 4
AFC_14_15_G07 6
AFC_14_15_G08 6
AFC_14_15_G09 3
AFC_14_15_G10 6
AFC_14_15_G11 3
AFC_14_15_G12 8
AFC_14_15_H02 2
AFC_14_15_H03 3
AFC_14_15_H04 6
AFC_14_15_H05 7
AFC_14_15_H07 2
AFC_14_15_H08 5
AFC_14_15_H10 4
AFC_14_15_H11 3
AFC_14_15_H12 3
AFC_14_16_A01 4
AFC_14_16_A02 3
AFC_14_16_A03 6
AFC_14_16_A04 3
AFC_14_16_A05 9
AFC_14_16_A06 4
AFC_14_16_A07 8
AFC_14_16_A08 7
AFC_14_16_A09 3
AFC_14_16_A10 3
AFC_14_16_B01 6
AFC_14_16_B02 9
AFC_14_16_B03 5
AFC_14_16_B04 5
AFC_14_16_B06 4
AFC_14_16_B07 5
AFC_14_16_B08 4
AFC_14_16_B09 4
AFC_14_16_B10 3
AFC_14_16_B11 5
AFC_14_16_B12 6
AFC_14_16_C01 7
AFC_14_16_C02 4
AFC_14_16_C03 6
AFC_14_16_C04 1
AFC_14_16_C07 4
AFC_14_16_C08 5
AFC_14_16_C09 9
AFC_14_16_C10 11
AFC_14_16_C12 6
AFC_14_16_D01 4
