"sex","id","pgm"
"F","AFC_14_15_B02",1
"F","AFC_14_15_B03",1
"M","AFC_14_15_B04",1
"F","AFC_14_15_B05",1
"M","AFC_14_15_B06",1
"F","AFC_14_15_B07",1
"F","AFC_14_15_C01",1
"F","AFC_14_15_C02",1
"F","AFC_14_15_C03",1
"F","AFC_14_15_C04",1
"F","AFC_14_15_C05",1
"F","AFC_14_15_C06",1
"F","AFC_14_15_C07",1
"M","AFC_14_15_C08",1
"M","AFC_14_15_C09",1
"M","AFC_14_15_C10",1
"F","AFC_14_15_C11",1
"F","AFC_14_15_C12",1
"F","AFC_14_15_D01",1
"F","AFC_14_15_D02",1
"F","AFC_14_15_D03",1
"F","AFC_14_15_D04",1
"F","AFC_14_15_D05",1
"F","AFC_14_15_D06",1
"F","AFC_14_15_D07",1
"M","AFC_14_15_D08",1
"M","AFC_14_15_D09",1
"F","AFC_14_15_D10",1
"M","AFC_14_15_D11",1
"M","AFC_14_15_D12",1
"M","AFC_14_15_E01",1
"F","AFC_14_15_E02",1
"F","AFC_14_15_E03",1
"F","AFC_14_15_E04",1
"F","AFC_14_15_E05",1
"F","AFC_14_15_E06",1
"M","AFC_14_15_E07",1
"M","AFC_14_15_E08",1
"F","AFC_14_15_E09",1
"M","AFC_14_15_E10",1
"M","AFC_14_15_E11",1
"F","AFC_14_15_E12",1
"F","AFC_14_15_F01",1
"M","AFC_14_15_F02",1
"F","AFC_14_15_F03",1
"F","AFC_14_15_F04",1
"F","AFC_14_15_F05",1
"F","AFC_14_15_F06",1
"F","AFC_14_15_F07",1
"M","AFC_14_15_F08",1
"F","AFC_14_15_F09",1
"M","AFC_14_15_F10",1
"M","AFC_14_15_F11",1
"F","AFC_14_15_F12",1
"F","AFC_14_15_G01",1
"F","AFC_14_15_G02",1
"M","AFC_14_15_G03",1
"F","AFC_14_15_G04",1
"F","AFC_14_15_G05",1
"M","AFC_14_15_G06",1
"F","AFC_14_15_G07",1
"M","AFC_14_15_G08",1
"F","AFC_14_15_G09",1
"M","AFC_14_15_G10",1
"F","AFC_14_15_G11",1
"M","AFC_14_15_G12",1
"M","AFC_14_15_H02",1
"M","AFC_14_15_H03",1
"M","AFC_14_15_H04",1
"F","AFC_14_15_H05",1
"F","AFC_14_15_H06",1
"F","AFC_14_15_H07",1
"F","AFC_14_15_H08",1
"M","AFC_14_15_H10",1
"F","AFC_14_15_H11",1
"F","AFC_14_15_H12",1
"M","AFC_14_16_A01",1
"M","AFC_14_16_A02",1
"F","AFC_14_16_A03",1
"F","AFC_14_16_A04",1
"F","AFC_14_16_A05",1
"F","AFC_14_16_A06",1
"M","AFC_14_16_A07",1
"F","AFC_14_16_A08",1
"M","AFC_14_16_A09",1
"F","AFC_14_16_A10",1
"F","AFC_14_16_B01",1
"F","AFC_14_16_B02",1
"M","AFC_14_16_B03",1
"F","AFC_14_16_B04",1
"F","AFC_14_16_B05",1
"F","AFC_14_16_B06",1
"M","AFC_14_16_B07",1
"F","AFC_14_16_B08",1
"M","AFC_14_16_B09",1
"F","AFC_14_16_B10",1
"F","AFC_14_16_B11",1
"F","AFC_14_16_B12",1
"F","AFC_14_16_C01",1
"F","AFC_14_16_C02",1
"M","AFC_14_16_C03",1
"F","AFC_14_16_C04",1
"F","AFC_14_16_C05",1
"F","AFC_14_16_C06",1
"F","AFC_14_16_C07",1
"F","AFC_14_16_C08",1
"F","AFC_14_16_C09",1
"M","AFC_14_16_C10",1
"F","AFC_14_16_C11",1
"F","AFC_14_16_C12",1
"F","AFC_14_16_D01",1
"M","AFC_14_16_D02",1
"M","AFC_14_16_D03",1
"F","AFC_14_16_D04",1
"M","AFC_14_16_D05",1
"M","AFC_14_16_D06",1
"F","AFC_14_16_D07",1
"M","AFC_14_16_D08",1
"M","AFC_14_16_D09",1
"M","AFC_14_16_D10",1
"F","AFC_14_16_D11",1
"F","AFC_14_16_D12",1
"M","AFC_14_16_E01",1
"F","AFC_14_16_E02",1
"F","AFC_14_16_E03",1
"M","AFC_14_16_E04",1
"F","AFC_14_16_E05",1
"F","AFC_14_16_E06",1
"M","AFC_14_16_E08",1
"F","AFC_14_16_E09",1
"M","AFC_14_16_E10",1
"F","AFC_14_16_E11",1
"F","AFC_14_16_E12",1
"M","AFC_14_16_F01",1
"M","AFC_14_16_F02",1
"F","AFC_14_16_F03",1
"F","AFC_14_16_F04",1
"M","AFC_14_16_F05",1
"M","AFC_14_16_F06",1
"F","AFC_14_16_F07",1
"F","AFC_14_16_F08",1
"M","AFC_14_16_F09",1
"M","AFC_14_16_F10",1
"F","AFC_14_16_F11",1
"F","AFC_14_16_F12",1
"M","AFC_14_16_G01",1
"F","AFC_14_16_G02",1
"M","AFC_14_16_G03",1
"F","AFC_14_16_G04",1
"M","AFC_14_16_G05",1
"F","AFC_14_16_G06",1
"F","AFC_14_16_G07",1
"F","AFC_14_16_G08",1
"F","AFC_14_16_G09",1
"F","AFC_14_16_G10",1
"F","AFC_14_16_G11",1
"F","AFC_14_16_G12",1
"M","AFC_14_16_H01",1
"M","AFC_14_16_H02",1
"M","AFC_14_16_H03",1
"M","AFC_14_16_H04",1
"F","AFC_14_16_H05",1
"M","AFC_14_16_H10",1
"F","AFC_14_16_H11",1
"F","AFC_14_16_H12",1
"F","AFC_14_17_A01",1
"F","AFC_14_17_A03",1
"M","AFC_14_17_A04",1
"F","AFC_14_17_A05",1
"F","AFC_14_17_A06",1
"F","AFC_14_17_A07",1
"F","AFC_14_17_A08",1
"F","AFC_14_17_A09",1
"F","AFC_14_17_A10",1
"M","AFC_14_17_A11",1
"F","AFC_14_17_A12",1
"M","AFC_14_17_B01",1
"F","AFC_14_17_B02",1
"F","AFC_14_17_B03",1
"F","AFC_14_17_B04",1
"M","AFC_14_17_B05",1
"F","AFC_14_17_B06",1
"M","AFC_14_17_B07",1
"F","AFC_14_17_B08",1
"F","AFC_14_17_B09",1
"F","AFC_14_17_B10",1
"F","AFC_14_17_B11",1
"F","AFC_14_17_B12",1
"M","AFC_14_17_C01",1
"F","AFC_14_17_C02",1
"M","AFC_14_17_C03",1
"F","AFC_14_17_C04",1
"F","AFC_14_17_C05",1
"M","AFC_14_17_C06",1
"M","AFC_14_17_C07",1
"F","AFC_14_17_C08",1
"F","AFC_14_17_C09",1
"M","AFC_14_17_C10",1
"F","AFC_14_17_C11",1
"M","AFC_14_17_C12",1
"M","AFC_14_17_D01",1
"F","AFC_14_17_D02",1
"F","AFC_14_17_D03",1
"F","AFC_14_17_D04",1
"F","AFC_14_17_D05",1
"M","AFC_14_17_D06",1
"M","AFC_14_17_D07",1
"F","AFC_14_17_D08",1
"M","AFC_14_17_D09",1
"F","AFC_14_17_D10",1
"F","AFC_14_17_D11",1
"F","AFC_14_17_D12",1
"F","AFC_14_17_E01",1
"F","AFC_14_17_E02",1
"F","AFC_14_17_E03",1
"M","AFC_14_17_E04",1
"F","AFC_14_17_E05",1
"M","AFC_14_17_E06",1
"M","AFC_14_17_E07",1
"M","AFC_14_17_E08",1
"F","AFC_14_17_E09",1
"M","AFC_14_17_E10",1
"F","AFC_14_17_E11",1
"M","AFC_14_17_E12",1
"M","AFC_14_17_F01",1
"F","AFC_14_17_F02",1
"F","AFC_14_17_F03",1
"M","AFC_14_17_F04",1
"F","AFC_14_17_F05",1
"M","AFC_14_17_F06",1
"M","AFC_14_17_F07",1
