"Indiv","mean_hom","sex"
"AFC_14_15_B02",0.0423728813559322,"F"
"AFC_14_15_B03",0.0427350427350427,"F"
"AFC_14_15_B04",0.991596638655462,"M"
"AFC_14_15_B05",0.0172413793103448,"F"
"AFC_14_15_B06",1,"M"
"AFC_14_15_B07",0.0341880341880342,"F"
"AFC_14_15_C01",0.0769230769230769,"F"
"AFC_14_15_C02",0.0603448275862069,"F"
"AFC_14_15_C03",0.0517241379310345,"F"
"AFC_14_15_C04",0.0756302521008403,"F"
"AFC_14_15_C05",0.0521739130434783,"F"
"AFC_14_15_C06",0.0603448275862069,"F"
"AFC_14_15_C07",0.0512820512820513,"F"
"AFC_14_15_C08",1,"M"
"AFC_14_15_C09",0.991452991452991,"M"
"AFC_14_15_C10",1,"M"
"AFC_14_15_C11",0.0512820512820513,"F"
"AFC_14_15_C12",0.0598290598290598,"F"
"AFC_14_15_D01",0.0427350427350427,"F"
"AFC_14_15_D02",0.0347826086956522,"F"
"AFC_14_15_D03",0.0420168067226891,"F"
"AFC_14_15_D04",0.0603448275862069,"F"
"AFC_14_15_D05",0.0258620689655172,"F"
"AFC_14_15_D06",0.0672268907563025,"F"
"AFC_14_15_D07",0.0508474576271186,"F"
"AFC_14_15_D08",1,"M"
"AFC_14_15_D09",1,"M"
"AFC_14_15_D10",0.00862068965517241,"F"
"AFC_14_15_D11",1,"M"
"AFC_14_15_D12",1,"M"
"AFC_14_15_E01",1,"M"
"AFC_14_15_E02",0.0512820512820513,"F"
"AFC_14_15_E03",0.0341880341880342,"F"
"AFC_14_15_E04",0.0932203389830508,"F"
"AFC_14_15_E05",0.0603448275862069,"F"
"AFC_14_15_E06",0.0598290598290598,"F"
"AFC_14_15_E07",1,"M"
"AFC_14_15_E08",1,"M"
"AFC_14_15_E09",0.0508474576271186,"F"
"AFC_14_15_E10",1,"M"
"AFC_14_15_E11",1,"M"
"AFC_14_15_E12",0.0603448275862069,"F"
"AFC_14_15_F01",0.0756302521008403,"F"
"AFC_14_15_F02",1,"M"
"AFC_14_15_F03",0.0341880341880342,"F"
"AFC_14_15_F04",0.0869565217391304,"F"
"AFC_14_15_F05",0.0683760683760684,"F"
"AFC_14_15_F06",0.0508474576271186,"F"
"AFC_14_15_F07",0.0756302521008403,"F"
"AFC_14_15_F08",1,"M"
"AFC_14_15_F09",0.0258620689655172,"F"
"AFC_14_15_F10",1,"M"
"AFC_14_15_F11",1,"M"
"AFC_14_15_F12",0.0344827586206897,"F"
"AFC_14_15_G01",0.0847457627118644,"F"
"AFC_14_15_G02",0.0423728813559322,"F"
"AFC_14_15_G03",1,"M"
"AFC_14_15_G04",0.0769230769230769,"F"
"AFC_14_15_G05",0.0689655172413793,"F"
"AFC_14_15_G06",1,"M"
"AFC_14_15_G07",0.0847457627118644,"F"
"AFC_14_15_G08",1,"M"
"AFC_14_15_G09",0.0256410256410256,"F"
"AFC_14_15_G10",1,"M"
"AFC_14_15_G11",0.0256410256410256,"F"
"AFC_14_15_G12",1,"M"
"AFC_14_15_H02",1,"M"
"AFC_14_15_H03",1,"M"
"AFC_14_15_H04",1,"M"
"AFC_14_15_H05",0.0256410256410256,"F"
"AFC_14_15_H06",0.0769230769230769,"F"
"AFC_14_15_H07",0.0169491525423729,"F"
"AFC_14_15_H08",0.0517241379310345,"F"
"AFC_14_15_H10",1,"M"
"AFC_14_15_H11",0.0420168067226891,"F"
"AFC_14_15_H12",0.0689655172413793,"F"
"AFC_14_16_A01",1,"M"
"AFC_14_16_A02",1,"M"
"AFC_14_16_A03",0.0508474576271186,"F"
"AFC_14_16_A04",0.094017094017094,"F"
"AFC_14_16_A05",0.0495867768595041,"F"
"AFC_14_16_A06",0.076271186440678,"F"
"AFC_14_16_A07",1,"M"
"AFC_14_16_A08",0.0598290598290598,"F"
"AFC_14_16_A09",1,"M"
"AFC_14_16_A10",0.0769230769230769,"F"
"AFC_14_16_B01",0.0252100840336134,"F"
"AFC_14_16_B02",0.0512820512820513,"F"
"AFC_14_16_B03",1,"M"
"AFC_14_16_B04",0.0420168067226891,"F"
"AFC_14_16_B05",0.0508474576271186,"F"
"AFC_14_16_B06",0.076271186440678,"F"
"AFC_14_16_B07",1,"M"
"AFC_14_16_B08",0.076271186440678,"F"
"AFC_14_16_B09",1,"M"
"AFC_14_16_B10",0.0666666666666667,"F"
"AFC_14_16_B11",0.0593220338983051,"F"
"AFC_14_16_B12",0.0427350427350427,"F"
"AFC_14_16_C01",0.0695652173913043,"F"
"AFC_14_16_C02",0.0756302521008403,"F"
"AFC_14_16_C03",1,"M"
"AFC_14_16_C04",0.0689655172413793,"F"
"AFC_14_16_C05",0.0614035087719298,"F"
"AFC_14_16_C06",0.0431034482758621,"F"
"AFC_14_16_C07",0.0341880341880342,"F"
"AFC_14_16_C08",0.0593220338983051,"F"
"AFC_14_16_C09",0.0338983050847458,"F"
"AFC_14_16_C10",1,"M"
"AFC_14_16_C11",0.0431034482758621,"F"
"AFC_14_16_C12",0.0598290598290598,"F"
"AFC_14_16_D01",0.0854700854700855,"F"
"AFC_14_16_D02",1,"M"
"AFC_14_16_D03",0.991379310344828,"M"
"AFC_14_16_D04",0.0677966101694915,"F"
"AFC_14_16_D05",1,"M"
"AFC_14_16_D06",1,"M"
"AFC_14_16_D07",0.0598290598290598,"F"
"AFC_14_16_D08",1,"M"
"AFC_14_16_D09",1,"M"
"AFC_14_16_D10",1,"M"
"AFC_14_16_D11",0.076271186440678,"F"
"AFC_14_16_D12",0.0672268907563025,"F"
"AFC_14_16_E01",1,"M"
"AFC_14_16_E02",0.0263157894736842,"F"
"AFC_14_16_E03",0.0854700854700855,"F"
"AFC_14_16_E04",1,"M"
"AFC_14_16_E05",0.0840336134453782,"F"
"AFC_14_16_E06",0.0608695652173913,"F"
"AFC_14_16_E08",1,"M"
"AFC_14_16_E09",0.0338983050847458,"F"
"AFC_14_16_E10",1,"M"
"AFC_14_16_E11",0.0431034482758621,"F"
"AFC_14_16_E12",0.0598290598290598,"F"
"AFC_14_16_F01",1,"M"
"AFC_14_16_F02",1,"M"
"AFC_14_16_F03",0.0701754385964912,"F"
"AFC_14_16_F04",0.105263157894737,"F"
"AFC_14_16_F05",1,"M"
"AFC_14_16_F06",1,"M"
"AFC_14_16_F07",0.0608695652173913,"F"
"AFC_14_16_F08",0.0598290598290598,"F"
"AFC_14_16_F09",1,"M"
"AFC_14_16_F10",1,"M"
"AFC_14_16_F11",0.0508474576271186,"F"
"AFC_14_16_F12",0.0427350427350427,"F"
"AFC_14_16_G01",1,"M"
"AFC_14_16_G02",0.0677966101694915,"F"
"AFC_14_16_G03",1,"M"
"AFC_14_16_G04",0.0593220338983051,"F"
"AFC_14_16_G05",1,"M"
"AFC_14_16_G06",0.0517241379310345,"F"
"AFC_14_16_G07",0.0341880341880342,"F"
"AFC_14_16_G08",0.0431034482758621,"F"
"AFC_14_16_G09",0.0512820512820513,"F"
"AFC_14_16_G10",0.0603448275862069,"F"
"AFC_14_16_G11",0.0588235294117647,"F"
"AFC_14_16_G12",0.0769230769230769,"F"
"AFC_14_16_H01",1,"M"
"AFC_14_16_H02",0.991596638655462,"M"
"AFC_14_16_H03",1,"M"
"AFC_14_16_H04",1,"M"
"AFC_14_16_H05",0.0427350427350427,"F"
"AFC_14_16_H10",1,"M"
"AFC_14_16_H11",0.0672268907563025,"F"
"AFC_14_16_H12",0.0598290598290598,"F"
"AFC_14_17_A01",0.0588235294117647,"F"
"AFC_14_17_A03",0.094017094017094,"F"
"AFC_14_17_A04",1,"M"
"AFC_14_17_A05",0.1,"F"
"AFC_14_17_A06",0.0598290598290598,"F"
"AFC_14_17_A07",0.0769230769230769,"F"
"AFC_14_17_A08",0.0598290598290598,"F"
"AFC_14_17_A09",0.0521739130434783,"F"
"AFC_14_17_A10",0.0598290598290598,"F"
"AFC_14_17_A11",1,"M"
"AFC_14_17_A12",0.0512820512820513,"F"
"AFC_14_17_B01",1,"M"
"AFC_14_17_B02",0.0677966101694915,"F"
"AFC_14_17_B03",0.0420168067226891,"F"
"AFC_14_17_B04",0.0603448275862069,"F"
"AFC_14_17_B05",1,"M"
"AFC_14_17_B06",0.0508474576271186,"F"
"AFC_14_17_B07",1,"M"
"AFC_14_17_B08",0.0338983050847458,"F"
"AFC_14_17_B09",0.0588235294117647,"F"
"AFC_14_17_B10",0.0504201680672269,"F"
"AFC_14_17_B11",0.0341880341880342,"F"
"AFC_14_17_B12",0.0666666666666667,"F"
"AFC_14_17_C01",1,"M"
"AFC_14_17_C02",0.0517241379310345,"F"
"AFC_14_17_C03",1,"M"
"AFC_14_17_C04",0.0434782608695652,"F"
"AFC_14_17_C05",0.0427350427350427,"F"
"AFC_14_17_C06",1,"M"
"AFC_14_17_C07",1,"M"
"AFC_14_17_C08",0.0683760683760684,"F"
"AFC_14_17_C09",0.0336134453781513,"F"
"AFC_14_17_C10",1,"M"
"AFC_14_17_C11",0.0517241379310345,"F"
"AFC_14_17_C12",1,"M"
"AFC_14_17_D01",1,"M"
"AFC_14_17_D02",0.0427350427350427,"F"
"AFC_14_17_D03",0.0427350427350427,"F"
"AFC_14_17_D04",0.0512820512820513,"F"
"AFC_14_17_D05",0.0258620689655172,"F"
"AFC_14_17_D06",1,"M"
"AFC_14_17_D07",1,"M"
"AFC_14_17_D08",0.0593220338983051,"F"
"AFC_14_17_D09",1,"M"
"AFC_14_17_D10",0.0521739130434783,"F"
"AFC_14_17_D11",0.0932203389830508,"F"
"AFC_14_17_D12",0.0756302521008403,"F"
"AFC_14_17_E01",0.0416666666666667,"F"
"AFC_14_17_E02",0.0258620689655172,"F"
"AFC_14_17_E03",0.0769230769230769,"F"
"AFC_14_17_E04",1,"M"
"AFC_14_17_E05",0.0526315789473684,"F"
"AFC_14_17_E06",1,"M"
"AFC_14_17_E07",1,"M"
"AFC_14_17_E08",1,"M"
"AFC_14_17_E09",0.0862068965517241,"F"
"AFC_14_17_E10",1,"M"
"AFC_14_17_E11",0.0672268907563025,"F"
"AFC_14_17_E12",1,"M"
"AFC_14_17_F01",1,"M"
"AFC_14_17_F02",0.0517241379310345,"F"
"AFC_14_17_F03",0.0847457627118644,"F"
"AFC_14_17_F04",1,"M"
"AFC_14_17_F05",0.0588235294117647,"F"
"AFC_14_17_F06",1,"M"
"AFC_14_17_F07",1,"M"
"AFC_14_17_F08",1,"M"
"AFC_14_17_F09",1,"M"
"AFC_14_17_F10",1,"M"
"AFC_14_17_F11",0.0512820512820513,"F"
"AFC_14_17_F12",0.0416666666666667,"F"
"AFC_14_17_G01",1,"M"
"AFC_14_17_G02",1,"M"
"AFC_14_17_G03",1,"M"
"AFC_14_17_G04",0.0423728813559322,"F"
"AFC_14_17_G05",0.0336134453781513,"F"
"AFC_14_17_G06",0.991666666666667,"M"
"AFC_14_17_G07",0.0683760683760684,"F"
"AFC_14_17_G08",1,"M"
"AFC_14_17_G09",0.0431034482758621,"F"
"AFC_14_17_G10",1,"M"
