Population,Line,Plate,Individual,Chr2_Crossovers,Chr3_Crossovers,Chr4_Crossovers,ChrX_Crossovers
AFC,AFC_14,AFC_14_15,AFC_14_15_B02,1,0,0,1
AFC,AFC_14,AFC_14_15,AFC_14_15_B03,0,0,1,4
AFC,AFC_14,AFC_14_15,AFC_14_15_B04,1,1,0,2
AFC,AFC_14,AFC_14_15,AFC_14_15_B05,2,0,2,2
AFC,AFC_14,AFC_14_15,AFC_14_15_B06,2,0,0,2
AFC,AFC_14,AFC_14_15,AFC_14_15_C01,4,1,1,1
AFC,AFC_14,AFC_14_15,AFC_14_15_C02,1,1,0,2
AFC,AFC_14,AFC_14_15,AFC_14_15_C03,1,1,1,5
AFC,AFC_14,AFC_14_15,AFC_14_15_C04,2,1,0,2
AFC,AFC_14,AFC_14_15,AFC_14_15_C05,0,0,0,3
AFC,AFC_14,AFC_14_15,AFC_14_15_C06,2,1,2,4
AFC,AFC_14,AFC_14_15,AFC_14_15_C07,1,1,0,2
AFC,AFC_14,AFC_14_15,AFC_14_15_C08,2,0,1,3
AFC,AFC_14,AFC_14_15,AFC_14_15_C10,0,1,0,3
AFC,AFC_14,AFC_14_15,AFC_14_15_C11,3,2,1,1
AFC,AFC_14,AFC_14_15,AFC_14_15_C12,3,0,0,0
AFC,AFC_14,AFC_14_15,AFC_14_15_D01,1,1,0,0
AFC,AFC_14,AFC_14_15,AFC_14_15_D02,1,0,1,1
AFC,AFC_14,AFC_14_15,AFC_14_15_D03,0,1,2,3
AFC,AFC_14,AFC_14_15,AFC_14_15_D04,1,0,0,3
AFC,AFC_14,AFC_14_15,AFC_14_15_D05,2,2,1,3
AFC,AFC_14,AFC_14_15,AFC_14_15_D06,2,2,0,1
AFC,AFC_14,AFC_14_15,AFC_14_15_D07,1,2,0,1
AFC,AFC_14,AFC_14_15,AFC_14_15_D08,1,0,2,2
AFC,AFC_14,AFC_14_15,AFC_14_15_D09,0,0,1,1
AFC,AFC_14,AFC_14_15,AFC_14_15_D10,2,0,1,3
AFC,AFC_14,AFC_14_15,AFC_14_15_E01,2,0,1,3
AFC,AFC_14,AFC_14_15,AFC_14_15_E02,3,1,1,2
AFC,AFC_14,AFC_14_15,AFC_14_15_E03,0,1,1,3
AFC,AFC_14,AFC_14_15,AFC_14_15_E04,1,1,2,2
AFC,AFC_14,AFC_14_15,AFC_14_15_E05,1,0,2,1
AFC,AFC_14,AFC_14_15,AFC_14_15_E06,1,0,1,1
AFC,AFC_14,AFC_14_15,AFC_14_15_E07,2,1,1,2
AFC,AFC_14,AFC_14_15,AFC_14_15_E08,1,0,0,3
AFC,AFC_14,AFC_14_15,AFC_14_15_E09,0,1,1,1
AFC,AFC_14,AFC_14_15,AFC_14_15_E10,3,1,1,3
AFC,AFC_14,AFC_14_15,AFC_14_15_E11,2,1,2,2
AFC,AFC_14,AFC_14_15,AFC_14_15_E12,2,1,1,0
AFC,AFC_14,AFC_14_15,AFC_14_15_F01,2,0,0,2
AFC,AFC_14,AFC_14_15,AFC_14_15_F02,3,0,1,0
AFC,AFC_14,AFC_14_15,AFC_14_15_F03,0,2,3,2
AFC,AFC_14,AFC_14_15,AFC_14_15_F04,2,0,1,4
