pop,line_id,type,unique_id,plate,row,col,orig,flip,clusters_with
MC,27,F1,MC-27-2-F1,P1,A,1,A01,H01,
AFC,12,F1,AFC-12-3-F1,P1,B,1,B01,G01,
MC,14,F1,MC-14-1-F1,P1,C,1,C01,F01,MV
MC,20,F,MC_F1_F20,P1,D,1,D01,E01,
AFC,64,F1,AFC-64-3-F1,P1,E,1,E01,D01,
MV,225,L,MV-L5,P1,F,1,F01,C01,AFC
AFC,56,L,AFC-L56-3,P1,G,1,G01,B01,
MC,15,L,MC-L15-3,P1,H,1,H01,A01,
AFC,15,F1,AFC-15-1-F1,P1,A,2,A02,A02,
MC,27,F1,MC-27-1-F1,P1,B,2,B02,B02,
MC,6,M,MC-M06-F1,P1,C,2,C02,C02,
MC,9,F,MC_F9_F1,P1,D,2,D02,D02,
MC,9,F1,MC_F1_9-3,P1,E,2,E02,E02,
MC,17,F1,MC-17-5-F1,P1,F,2,F02,F02,
AFC,48,L,AFC_F1_L48-3,P1,G,2,G02,G02,
MC,6,F,MC_F6_F1,P1,H,2,H02,H02,
AFC,60,L,AFC-L60-3,P1,A,3,A03,A03,
AFC,14,L,AFC-L14-3,P1,B,3,B03,B03,
MC,6,L,MC-L6-4,P1,C,3,C03,C03,
AFC,43,F1,AFC-43-1-F1,P1,D,3,D03,D03,
AFC,46,F1,AFC-46-2-F1,P1,E,3,E03,E03,
AFC,70,F1,AFC-70-3-F1,P1,F,3,F03,F03,
MC,11,F,MC_F11_F1,P1,G,3,G03,G03,
AFC,14,F1,AFC-14-2-F1,P1,H,3,H03,H03,
MC,27,L,MC-L27-3,P1,A,4,A04,A04,
AFC,2,F1,AFC-2-2-F1,P1,B,4,B04,B04,
AFC,12,L,AFC_F1_L12-4,P1,C,4,C04,C04,
AFC,46,F1,AFC-46-1-F1,P1,D,4,D04,D04,
AFC,70,F1,AFC-70-2-F1,P1,E,4,E04,E04,
MC,23,F,MC_F1_F23,P1,F,4,F04,F04,
MC,20,F1,MC-20-3-F1,P1,G,4,G04,G04,
MC,3,F,MC_F3_F1,P1,H,4,H04,H04,
AFC,19,F1,AFC-19-4-F1,P1,A,5,A05,A05,
AFC,7,F1,AFC-7-1-F1,P1,B,5,B05,B05,
AFC,6,F1,AFC-6-2-F1,P1,C,5,C05,C05,
AFC,50,F1,AFC-50-3-F1,P1,D,5,D05,D05,
FL,14,L,FL-L11,P1,E,5,E05,E05,
MC,15,F,MC_F15_F1,P1,F,5,F05,F05,
AFC,59,F1,AFC-59-2-F1,P1,G,5,G05,G05,
AFC,24,L,AFC_F1_L24-3,P1,H,5,H05,H05,
MC,6,F1,MC_F1_6-3,P1,A,6,A06,A06,
MC,27,M,MC_M27_F1,P1,B,6,B06,B06,FL
AFC,42,F1,AFC-42-3-F1,P1,C,6,C06,C06,
