Indiv CHROM pos1 pos2 sum_depth n_sites
S1 XR_group3a 193000 193999 5945 271
S1 XR_group3a 194000 194999 755 1000
S1 XR_group3a 195000 195999 18153 1000
S1 XR_group3a 196000 196999 41334 1000
S1 XR_group3a 197000 197999 37782 998
S1 XR_group3a 198000 198999 38787 1000
S1 XR_group3a 199000 199999 39030 1000
S1 XR_group3a 2e+05 200999 40540 1000
S1 XR_group3a 201000 201999 39746 1000
S1 XR_group3a 202000 202999 44946 1000
S1 XR_group3a 203000 203999 41053 1000
S1 XR_group3a 204000 204999 36608 1000
S1 XR_group3a 205000 205999 37815 999
S1 XR_group3a 206000 206999 44109 1000
S1 XR_group3a 207000 207999 40099 1000
S1 XR_group3a 208000 208999 38406 1000
S1 XR_group3a 209000 209999 44737 1000
S1 XR_group3a 210000 210999 38219 998
S1 XR_group3a 211000 211999 37457 1000
S1 XR_group3a 212000 212999 37729 997
S1 XR_group3a 213000 213999 38109 1000
S1 XR_group3a 214000 214999 45588 1000
S1 XR_group3a 215000 215999 38002 1000
S1 XR_group3a 216000 216999 39566 1000
S1 XR_group3a 217000 217999 38919 1000
S1 XR_group3a 218000 218999 40264 1000
S1 XR_group3a 219000 219999 43396 1000
S1 XR_group3a 220000 220999 42482 1000
S1 XR_group3a 221000 221999 38402 1000
S1 XR_group3a 222000 222999 38444 1000
S1 XR_group3a 223000 223999 40354 1000
S1 XR_group3a 224000 224999 47008 1000
S1 XR_group3a 225000 225999 41413 1000
S1 XR_group3a 226000 226999 39179 1000
S1 XR_group3a 227000 227999 44940 1000
S1 XR_group3a 228000 228999 44240 1000
S1 XR_group3a 229000 229999 45450 1000
S1 XR_group3a 230000 230999 44939 1000
S1 XR_group3a 231000 231999 48739 1000
S1 XR_group3a 232000 232999 45802 999
S1 XR_group3a 233000 233999 45918 1000
S1 XR_group3a 234000 234999 40761 1000
S1 XR_group3a 235000 235999 38053 1000
S1 XR_group3a 236000 236999 36917 1000
S1 XR_group3a 237000 237999 35825 999
S1 XR_group3a 238000 238999 41273 1000
S1 XR_group3a 239000 239999 40105 1000
S1 XR_group3a 240000 240999 40836 1000
S1 XR_group3a 241000 241999 50643 1000
S1 XR_group3a 242000 242999 38227 999
S1 XR_group3a 243000 243999 42140 1000
S1 XR_group3a 244000 244999 42404 999
S1 XR_group3a 245000 245999 40110 1000
S1 XR_group3a 246000 246999 41465 998
S1 XR_group3a 247000 247999 28738 1000
S1 XR_group3a 248000 248999 40672 1000
S1 XR_group3a 249000 249999 41639 1000
