Indiv CHROM pos1 pos2 sum_depth n_sites
S1 3 5795000 5795999 6697 187
S1 3 5796000 5796999 39136 1000
S1 3 5797000 5797999 45130 1000
S1 3 5798000 5798999 44623 1000
S1 3 5799000 5799999 36539 1000
S1 3 5800000 5800999 39475 1000
S1 3 5801000 5801999 42360 997
S1 3 5802000 5802999 40157 1000
S1 3 5803000 5803999 43431 1000
S1 3 5804000 5804999 39991 1000
S1 3 5805000 5805999 32447 1000
S1 3 5806000 5806999 38473 1000
S1 3 5807000 5807999 36744 1000
S1 3 5808000 5808999 39521 1000
S1 3 5809000 5809999 39946 1000
S1 3 5810000 5810999 38428 1000
S1 3 5811000 5811999 40814 1000
S1 3 5812000 5812999 43131 1000
S1 3 5813000 5813999 39881 996
S1 3 5814000 5814999 39531 1000
S1 3 5815000 5815999 37611 1000
S1 3 5816000 5816999 40660 1000
S1 3 5817000 5817999 39534 1000
S1 3 5818000 5818999 39198 1000
S1 3 5819000 5819999 43610 1000
S1 3 5820000 5820999 40851 1000
S1 3 5821000 5821999 42681 1000
S1 3 5822000 5822999 41660 1000
S1 3 5823000 5823999 43655 1000
S1 3 5824000 5824999 40874 1000
S1 3 5825000 5825999 42799 1000
S1 3 5826000 5826999 39538 1000
S1 3 5827000 5827999 41824 1000
S1 3 5828000 5828999 37420 1000
S1 3 5829000 5829999 46145 999
S1 3 5830000 5830999 44523 1000
S1 3 5831000 5831999 43622 1000
S1 3 5832000 5832999 34388 996
S1 3 5833000 5833999 41296 1000
S1 3 5834000 5834999 45088 1000
S1 3 5835000 5835999 49732 999
S1 3 5836000 5836999 47466 1000
S1 3 5837000 5837999 41250 1000
S1 3 5838000 5838999 41171 1000
S1 3 5839000 5839999 41983 1000
S1 3 5840000 5840999 40759 1000
S1 3 5841000 5841999 39464 1000
S1 3 5842000 5842999 35913 998
S1 3 5843000 5843999 42588 1000
S1 3 5844000 5844999 39212 1000
S1 3 5845000 5845999 40927 1000
S1 3 5846000 5846999 43108 989
S1 3 5847000 5847999 41155 997
S1 3 5848000 5848999 36696 999
S1 3 5849000 5849999 43567 1000
S1 3 5850000 5850999 43243 1000
S1 3 5851000 5851999 39513 1000
S1 3 5852000 5852999 35502 1000
S1 3 5853000 5853999 38820 1000
S1 3 5854000 5854999 43504 1000
S1 3 5855000 5855999 46669 999
S1 3 5856000 5856999 43142 1000
S1 3 5857000 5857999 40326 997
S1 3 5858000 5858999 44065 997
S1 3 5859000 5859999 35696 1000
S1 3 5860000 5860999 39466 1000
S1 3 5861000 5861999 43164 998
S1 3 5862000 5862999 36371 1000
S1 3 5863000 5863999 41195 1000
S1 3 5864000 5864999 36004 997
S1 3 5865000 5865999 41761 998
S1 3 5866000 5866999 33396 997
S1 3 5867000 5867999 41664 995
S1 3 5868000 5868999 42398 999
S1 3 5869000 5869999 39959 996
S1 3 5870000 5870999 47192 1000
S1 3 5871000 5871999 42135 979
S1 3 5872000 5872999 38530 1000
S1 3 5873000 5873999 42903 999
S1 3 5874000 5874999 39516 1000
S1 3 5875000 5875999 42479 1000
S1 3 5876000 5876999 40417 1000
S1 3 5877000 5877999 40936 1000
