CHROM_ref1 CHROM_ref2 POS_ref1 POS_ref2 CHROM_schf1 CHROM_schf2 POS_schf1 POS_schf2 CHROM_miller1 CHROM_miller2 POS_miller1 POS_miller2 rqtl_chr1 rqtl_chr2 map_pos1 map_pos2 cm_dist_map mb_dist_schf mb_dist_ref mb_dist_miller cm_mb_ref cm_mb_schf cm_mb_miller
2 2 29446267 28823630 2 2 29446267 28823630 utg000027l utg000044l 1474293 2711105 2 2 0 0 0 622637 622637 NA 0 0 0
2 2 28823630 28569055 2 2 28823630 28569055 utg000044l utg000044l 2711105 2462394 2 2 0 0.292698685778353 0.292698685778353 254575 254575 248711 1.14975424051204 1.14975424051204 1.17686264692094
2 2 28569055 27830568 2 2 28569055 27830568 utg000044l utg000044l 2462394 1701747 2 2 0.292698685778353 1.11995665186215 0.827257966083797 738487 738487 760647 1.1202065386172 1.1202065386172 1.08757145704091
2 2 27830568 27521155 2 2 27830568 27521155 utg000044l utg000044l 1701747 1389680 2 2 1.11995665186215 1.37447653920452 0.25451988734237 309413 309413 312067 0.822589507688332 0.822589507688332 0.815593726162555
2 2 27521155 26841009 2 2 27521155 26841009 utg000044l utg000044l 1389680 710958 2 2 1.37447653920452 2.18900519024699 0.81452865104247 680146 680146 678722 1.19757912425048 1.19757912425048 1.20009171802663
2 2 26841009 26362869 2 2 26841009 26362869 utg000044l utg000044l 710958 249859 2 2 2.18900519024699 2.8286116841082 0.63960649386121 478140 478140 461099 1.33769710516002 1.33769710516002 1.38713485360239
2 2 24775435 24232981 2 2 24775435 24232981 utg000061l utg000061l 492178 910523 2 2 6.79791994311973 10.8959705872369 4.09805064411717 542454 542454 418345 7.55465098260345 7.55465098260345 9.79586380646875
2 2 24232981 23569553 2 2 24232981 23569553 utg000061l utg000061l 910523 1581342 2 2 10.8959705872369 15.6487503079744 4.7527797207375 663428 663428 670819 7.16397215784908 7.16397215784908 7.08504040693168
2 2 23569553 23329923 2 2 23569553 23329923 utg000061l utg000061l 1581342 1820830 2 2 15.6487503079744 16.5651165741996 0.9163662662252 239630 239630 239488 3.82408824531653 3.82408824531653 3.82635566803013
2 2 23232463 22811485 2 2 23232463 22811485 utg000061l utg000061l 1924632 2360518 2 2 17.0105343121429 18.5459827239545 1.5354484118116 420978 420978 435886 3.64733646844157 3.64733646844157 3.5225917139151
2 2 21582830 20875276 2 2 21582830 20875276 utg000061l utg000061l 3598754 4321606 2 2 24.4785945270453 27.2107696293487 2.7321751023034 707554 707554 722852 3.86143686885157 3.86143686885157 3.77971576796274
2 2 20875276 19776703 2 2 20875276 19776703 utg000061l utg000061l 4321606 5440218 2 2 27.2107696293487 30.2961508412825 3.0853812119338 1098573 1098573 1118612 2.80853544728825 2.80853544728825 2.75822287972398
2 2 19776703 19254236 2 2 19776703 19254236 utg000061l utg000061l 5440218 5965770 2 2 30.2961508412825 33.2501478101666 2.9539969688841 522467 522467 525552 5.65393980650281 5.65393980650281 5.6207510748396
2 2 19238807 19098285 2 2 19238807 19098285 utg000061l utg000061l 5981265 6121334 2 2 33.2501478101666 34.1534394967214 0.903291686554795 140522 140522 140069 6.42811578653019 6.42811578653019 6.44890508645592
2 2 19098285 18807141 2 2 19098285 18807141 utg000061l utg000061l 6121334 6437798 2 2 34.1534394967214 35.133802578682 0.980363081960604 291144 291144 316464 3.36727901643381 3.36727901643381 3.09786605099033
2 2 18807141 18490885 2 2 18807141 18490885 utg000061l utg000061l 6437798 6754462 2 2 35.133802578682 36.088359865202 0.95455728652 316256 316256 316664 3.01830569703025 3.01830569703025 3.01441681567845
2 2 15176087 14646112 2 2 15176087 14646112 utg000075l utg000075l 844097 310181 2 2 55.4295855475777 60.0751289319818 4.6455433844041 529975 529975 533916 8.76558966819963 8.76558966819963 8.7008881254806
2 2 14272003 13975330 2 2 14272003 13975330 utg000110l utg000110l 88659 381519 2 2 60.8387413621041 61.5768962821968 0.738154920092697 296673 296673 292860 2.48810953505272 2.48810953505272 2.5205044051516
2 2 13975330 13657603 2 2 13975330 13657603 utg000110l utg000110l 381519 698783 2 2 61.5768962821968 63.63987892516 2.0629826429632 317727 317727 317264 6.49294093030557 6.49294093030557 6.50241641964799
2 2 13657603 13329211 2 2 13657603 13329211 utg000110l utg000110l 698783 1026994 2 2 63.63987892516 66.4732997168894 2.8334207917294 328392 328392 328211 8.62816631260628 8.62816631260628 8.63292452638517
2 2 13329211 12348118 2 2 13329211 12348118 utg000110l utg000110l 1026994 2013391 2 2 66.4732997168894 71.2173615842739 4.7440618673845 981093 981093 986397 4.83548640891791 4.83548640891791 4.80948529586414
2 2 12348118 11532758 2 2 12348118 11532758 utg000110l utg000110l 2013391 2868884 2 2 71.2173615842739 75.6447788223808 4.4274172381069 815360 815360 855493 5.43001525474256 5.43001525474256 5.17528166578441
2 2 11532758 11265585 2 2 11532758 11265585 utg000110l utg000110l 2868884 3088312 2 2 75.6447788223808 76.0901965603242 0.445417737943401 267173 267173 219428 1.66715101429935 1.66715101429935 2.02990383152288
2 2 11186312 11030004 2 2 11186312 11030004 utg000110l utg000110l 3167434 3323269 2 2 77.1181042688237 78.0247751472968 0.906670878473093 156308 156308 155835 5.80054046160845 5.80054046160845 5.81814661964959
2 2 11030004 10861651 2 2 11030004 10861651 utg000110l utg000110l 3323269 3488542 2 2 78.0247751472968 78.6229202484845 0.598145101187711 168353 168353 165273 3.55292214090459 3.55292214090459 3.61913380399528
2 2 10858668 10278828 2 2 10858668 10278828 utg000110l utg000110l 3491543 4070624 2 2 78.6229202484845 80.2524101039145 1.62948985542999 579840 579840 579081 2.81024050674323 2.81024050674323 2.81392388185762
2 2 10123232 10007213 2 2 10123232 10007213 utg000284l utg000284l 469069 352742 2 2 81.4969137751868 82.8108721984068 1.31395842322 116019 116019 116327 11.3253727684259 11.3253727684259 11.2953864813844
2 2 10007213 9842286 2 2 10007213 9842286 utg000284l utg000284l 352742 172807 2 2 82.8108721984068 83.3102834699908 0.499411271583995 164927 164927 179935 3.02807467294012 3.02807467294012 2.77550933161416
2 2 8768893 8658440 2 2 8768893 8658440 utg000063l utg000063l 4240158 4130006 2 2 86.6797357378399 87.0754856184331 0.3957498805932 110453 110453 110152 3.58297086175297 3.58297086175297 3.5927616438485
2 2 8658440 8249660 2 2 8658440 8249660 utg000063l utg000063l 4130006 3737659 2 2 87.0754856184331 88.4374920352652 1.36200641683209 408780 408780 392347 3.33188124867187 3.33188124867187 3.47143323851613
2 2 8198455 7143551 2 2 8198455 7143551 utg000063l utg000063l 3686562 2656842 2 2 88.5795487883338 93.4529994990152 4.87345071068141 1054904 1054904 1029720 4.61980494024235 4.61980494024235 4.73279212861886
2 2 7143551 6762515 2 2 7143551 6762515 utg000063l utg000063l 2656842 2267097 2 2 93.4529994990152 96.7294716380468 3.2764721390316 381036 381036 389745 8.59885191696217 8.59885191696217 8.40670730614016
2 2 6740117 6027591 2 2 6740117 6027591 utg000063l utg000063l 2244758 1462118 2 2 96.9842978177357 101.57819296603 4.59389514829431 712526 712526 782640 6.44733686671688 6.44733686671688 5.86974234423785
2 2 6027591 5849230 2 2 6027591 5849230 utg000063l utg000063l 1462118 1282949 2 2 101.57819296603 102.43090988553 0.852716919499997 178361 178361 179169 4.78084850107365 4.78084850107365 4.75928826694348
2 2 5849230 5726001 2 2 5849230 5726001 utg000063l utg000063l 1282949 1155531 2 2 102.43090988553 102.783291832922 0.352381947392004 123229 123229 127418 2.85956996642028 2.85956996642028 2.76555861331997
2 2 5696114 5532637 2 2 5696114 5532637 utg000063l utg000063l 1125651 952393 2 2 104.684567942445 105.333624504342 0.649056561896998 163477 163477 173258 3.97032342101334 3.97032342101334 3.74618523760518
2 2 5532637 5114301 2 2 5532637 5114301 utg000063l utg000063l 952393 534161 2 2 105.333624504342 107.523876499794 2.190251995452 418336 418336 418232 5.23562876599672 5.23562876599672 5.23693068787659
2 2 5114301 4919304 2 2 5114301 4919304 utg000063l utg000063l 534161 330896 2 2 107.523876499794 108.465703324673 0.941826824879001 194997 194997 203265 4.82995546023273 4.82995546023273 4.63349236159202
2 2 4483794 4355611 2 2 4483794 4355611 utg000092l utg000092l 76193 203275 2 2 110.824873247349 111.477062478029 0.652189230679994 128183 128183 127082 5.08795418019546 5.08795418019546 5.13203467587852
2 2 4355611 4152880 2 2 4355611 4152880 utg000092l utg000092l 203275 410660 2 2 111.477062478029 111.98673388034 0.509671402311 202731 202731 207385 2.51402795976442 2.51402795976442 2.45760977076934
2 2 4152880 3925946 2 2 4152880 3925946 utg000092l utg000092l 410660 635166 2 2 111.98673388034 115.793140070757 3.80640619041701 226934 226934 224506 16.7731859942406 16.7731859942406 16.954585580862
2 2 3925946 3508480 2 2 3925946 3508480 utg000092l utg000092l 635166 1053766 2 2 115.793140070757 121.891571007829 6.098430937072 417466 417466 418600 14.6082098591789 14.6082098591789 14.5686357789584
2 2 3508480 3216218 2 2 3508480 3216218 utg000092l utg000092l 1053766 1341411 2 2 121.891571007829 125.051808711965 3.16023770413599 292262 292262 287645 10.8130297614332 10.8130297614332 10.9865900819969
2 2 3216218 3010066 2 2 3216218 3010066 utg000092l utg000092l 1341411 1552544 2 2 125.051808711965 125.643141019243 0.591332307278009 206152 206152 211133 2.8684286704859 2.8684286704859 2.80075737699937
2 2 3010066 2010774 2 2 3010066 2010774 utg000092l utg000092l 1552544 2364999 2 2 125.643141019243 129.073164614022 3.430023594779 999292 999292 812455 3.43245377204961 3.43245377204961 4.22180132410903
2 2 2010774 2502609 2 2 2010774 2502609 utg000092l utg000092l 2364999 2861221 2 2 129.073164614022 131.110432791459 2.037268177437 491835 491835 496222 4.14217812363292 4.14217812363292 4.10555795074986
2 2 2502609 488847 2 2 2502609 488847 utg000092l utg000092l 2861221 3491035 2 2 131.110432791459 132.128644275428 1.018211483969 2013762 2013762 629814 0.505626525860056 0.505626525860056 1.61668601201148
2 2 488847 968549 2 2 488847 968549 utg000092l utg000092l 3491035 3970401 2 2 132.128644275428 132.968631663781 0.839987388352995 479702 479702 479366 1.75106084267523 1.75106084267523 1.75228820640804
2 2 968549 1281760 2 2 968549 1281760 utg000092l utg000092l 3970401 4299256 2 2 132.968631663781 133.21042535313 0.241793689349009 313211 313211 328855 0.771983389309473 0.771983389309473 0.735259276425809
2 2 1281760 1428702 2 2 1281760 1428702 utg000092l utg000092l 4299256 4446026 2 2 133.21042535313 133.312232569415 0.101807216284982 146942 146942 146770 0.692839462406813 0.692839462406813 0.693651402091585
2 2 1428702 1180063 2 2 1428702 1180063 utg000092l utg000092l 4446026 4189804 2 2 133.312232569415 133.948561144089 0.636328574674025 248639 248639 256222 2.55924683848481 2.55924683848481 2.48350483047523
3 3 2228605 2615083 3 3 2228605 2615083 utg000001l utg000001l 1500472 1886773 3 3 0 0.241793689349016 0.241793689349016 386478 386478 386301 0.625633773071212 0.625633773071212 0.625920433415953
3 3 2615083 2774829 3 3 2615083 2774829 utg000001l utg000001l 1886773 2046407 3 3 0.241793689349016 0.496313576691378 0.254519887342362 159746 159746 159634 1.59327862570807 1.59327862570807 1.5943964778328
3 3 2774829 3073479 3 3 2774829 3073479 utg000001l utg000001l 2046407 2345587 3 3 0.496313576691378 0.878097529779714 0.381783953088336 298650 298650 299180 1.27836582316536 1.27836582316536 1.2761011868719
3 3 3073479 3318994 3 3 3073479 3318994 utg000001l utg000001l 2345587 2591128 3 3 0.878097529779714 1.21411530623338 0.336017776453666 245515 245515 245541 1.36862422440041 1.36862422440041 1.36847930265685
3 3 3318995 4568959 3 3 3318995 4568959 utg000001l utg000001l 2591128 3843741 3 3 1.21411530623338 4.21588549857683 3.00177019234345 1249964 1249964 1252613 2.40148531665188 2.40148531665188 2.39640670529801
3 3 4568959 4841440 3 3 4568959 4841440 utg000001l utg000001l 3843741 4115926 3 3 4.21588549857683 4.94131180798365 0.725426309406821 272481 272481 272185 2.66230052519926 2.66230052519926 2.66519576540522
3 3 4841440 5291056 3 3 4841440 5291056 utg000001l utg000001l 4115926 4574719 3 3 4.94131180798365 8.14352885348207 3.20221704549842 449616 449616 458793 7.12211541737487 7.12211541737487 6.97965541213231
3 3 5291056 5465514 3 3 5291056 5465514 utg000001l utg000001l 4574719 4749993 3 3 8.14352885348207 8.5089369417173 0.365408088235229 174458 174458 175274 2.09453328729682 2.09453328729682 2.08478204545585
3 3 5467516 5795813 3 3 5467516 5795813 utg000001l utg000001l 4752031 5087692 3 3 8.5089369417173 9.9346222500484 1.4256853083311 328297 328297 335661 4.34266931568397 4.34266931568397 4.24739635623769
3 3 5795813 6543081 3 3 5795813 6543081 utg000001l utg000001l 5087692 5846782 3 3 9.9346222500484 12.3926963025902 2.4580740525418 747268 747268 759090 3.28941430991532 3.28941430991532 3.2381852646482
3 3 6543081 7975227 3 3 6543081 7975227 utg000001l utg000001l 5846782 7283456 3 3 12.3926963025902 16.7535993395441 4.3609030369539 1432146 1432146 1436674 3.04501289460285 3.04501289460285 3.03541585422573
3 3 7975227 8403400 3 3 7975227 8403400 utg000001l utg000001l 7283456 7678721 3 3 16.7535993395441 17.8887717389322 1.1351723993881 428173 428173 395265 2.65120033114676 2.65120033114676 2.87192743953576
3 3 8403400 8817993 3 3 8403400 8817993 utg000001l utg000001l 7678721 8094050 3 3 17.8887717389322 19.3781405627722 1.48936882384 414593 414593 415329 3.59236365264247 3.59236365264247 3.58599766411688
3 3 8817993 9242771 3 3 8817993 9242771 utg000001l utg000001l 8094050 8523829 3 3 19.3781405627722 20.7401469796042 1.362006416832 424778 424778 429779 3.20639585108457 3.20639585108457 3.1690855459015
3 3 9242771 9454486 3 3 9242771 9454486 utg000001l utg000001l 8523829 8735335 3 3 20.7401469796042 21.6565132458294 0.9163662662252 211715 211715 211506 4.3283010945148 4.3283010945148 4.332578112324
3 3 9454493 9766843 3 3 9454493 9766843 utg000001l utg000001l 8735335 9047559 3 3 21.6565132458294 23.0185196626614 1.362006416832 312350 312350 312224 4.36051358038098 4.36051358038098 4.36227329363534
