Indiv CHROM pos1 pos2 sum_depth n_sites
S1 XL_group1a 1177000 1177999 31697 871
S1 XL_group1a 1178000 1178999 41372 998
S1 XL_group1a 1179000 1179999 38479 1000
S1 XL_group1a 1180000 1180999 38285 1000
S1 XL_group1a 1181000 1181999 35434 1000
S1 XL_group1a 1182000 1182999 37779 1000
S1 XL_group1a 1183000 1183999 38404 1000
S1 XL_group1a 1184000 1184999 40047 1000
S1 XL_group1a 1185000 1185999 40979 1000
S1 XL_group1a 1186000 1186999 35251 1000
S1 XL_group1a 1187000 1187999 42385 1000
S1 XL_group1a 1188000 1188999 43832 1000
S1 XL_group1a 1189000 1189999 41564 1000
S1 XL_group1a 1190000 1190999 42998 996
S1 XL_group1a 1191000 1191999 44500 1000
S1 XL_group1a 1192000 1192999 34849 1000
S1 XL_group1a 1193000 1193999 41835 990
S1 XL_group1a 1194000 1194999 45744 1000
S1 XL_group1a 1195000 1195999 43790 1000
S1 XL_group1a 1196000 1196999 36955 1000
S1 XL_group1a 1197000 1197999 43140 1000
S1 XL_group1a 1198000 1198999 41852 998
S1 XL_group1a 1199000 1199999 45210 1000
S1 XL_group1a 1200000 1200999 43619 1000
S1 XL_group1a 1201000 1201999 46958 1000
S1 XL_group1a 1202000 1202999 42972 1000
S1 XL_group1a 1203000 1203999 44049 1000
S1 XL_group1a 1204000 1204999 39792 1000
S1 XL_group1a 1205000 1205999 39235 1000
S1 XL_group1a 1206000 1206999 36821 1000
S1 XL_group1a 1207000 1207999 41648 985
S1 XL_group1a 1208000 1208999 48837 1000
S1 XL_group1a 1209000 1209999 44899 1000
S1 XL_group1a 1210000 1210999 44290 1000
S1 XL_group1a 1211000 1211999 38921 1000
S1 XL_group1a 1212000 1212999 45894 1000
S1 XL_group1a 1213000 1213999 40674 1000
S1 XL_group1a 1214000 1214999 43538 999
S1 XL_group1a 1215000 1215999 61238 993
S1 XL_group1a 1216000 1216999 59995 1000
S1 XL_group1a 1217000 1217999 77338 1000
S1 XL_group1a 1218000 1218999 64999 999
S1 XL_group1a 1219000 1219999 66364 997
S1 XL_group1a 1220000 1220999 43344 997
S1 XL_group1a 1221000 1221999 43020 956
S1 XL_group1a 1222000 1222999 53846 996
S1 XL_group1a 1223000 1223999 37194 999
S1 XL_group1a 1224000 1224999 36830 992
S1 XL_group1a 1225000 1225999 1461 1000
S1 XL_group1a 1226000 1226999 0 1000
S1 XL_group1a 1227000 1227999 0 1000
S1 XL_group1a 1228000 1228999 6792 1000
S1 XL_group1a 1229000 1229999 26737 998
S1 XL_group1a 1230000 1230999 30906 1000
S1 XL_group1a 1231000 1231999 22275 1000
S1 XL_group1a 1232000 1232999 41092 1000
S1 XL_group1a 1233000 1233999 25959 976
S1 XL_group1a 1234000 1234999 26725 988
S1 XL_group1a 1235000 1235999 32766 991
S1 XL_group1a 1236000 1236999 42021 1000
S1 XL_group1a 1237000 1237999 39014 1000
S1 XL_group1a 1238000 1238999 37477 1000
S1 XL_group1a 1239000 1239999 39128 1000
S1 XL_group1a 1240000 1240999 38401 998
S1 XL_group1a 1241000 1241999 37955 1000
S1 XL_group1a 1242000 1242999 23260 998
S1 XL_group1a 1243000 1243999 27501 997
S1 XL_group1a 1244000 1244999 35641 1000
S1 XL_group1a 1245000 1245999 41654 1000
S1 XL_group1a 1246000 1246999 38410 1000
S1 XL_group1a 1247000 1247999 34908 1000
S1 XL_group1a 1248000 1248999 41484 1000
S1 XL_group1a 1249000 1249999 40243 1000
S1 XL_group1a 1250000 1250999 41863 1000
S1 XL_group1a 1251000 1251999 43424 1000
S1 XL_group1a 1252000 1252999 37796 1000
S1 XL_group1a 1253000 1253999 37649 1000
S1 XL_group1a 1254000 1254999 40554 1000
S1 XL_group1a 1255000 1255999 39975 1000
S1 XL_group1a 1256000 1256999 40418 998
S1 XL_group1a 1257000 1257999 45671 1000
S1 XL_group1a 1258000 1258999 37997 1000
S1 XL_group1a 1259000 1259999 35819 1000
S1 XL_group1a 1260000 1260999 38782 1000
S1 XL_group1a 1261000 1261999 40583 1000
S1 XL_group1a 1262000 1262999 36325 1000
S1 XL_group1a 1263000 1263999 33953 1000
S1 XL_group1a 1264000 1264999 37216 997
S1 XL_group1a 1265000 1265999 37757 1000
S1 XL_group1a 1266000 1266999 44749 1000
S1 XL_group1a 1267000 1267999 37011 1000
S1 XL_group1a 1268000 1268999 43451 1000
S1 XL_group1a 1269000 1269999 41135 1000
S1 XL_group1a 1270000 1270999 40904 1000
S1 XL_group1a 1271000 1271999 38912 1000
S1 XL_group1a 1272000 1272999 36934 1000
S1 XL_group1a 1273000 1273999 39501 1000
S1 XL_group1a 1274000 1274999 38959 1000
S1 XL_group1a 1275000 1275999 36728 1000
S1 XL_group1a 1276000 1276999 39099 993
S1 XL_group1a 1277000 1277999 40429 1000
S1 XL_group1a 1278000 1278999 41087 1000
S1 XL_group1a 1279000 1279999 41135 1000
S1 XL_group1a 1280000 1280999 40491 1000
S1 XL_group1a 1281000 1281999 37496 1000
S1 XL_group1a 1282000 1282999 41641 996
S1 XL_group1a 1283000 1283999 39036 989
S1 XL_group1a 1284000 1284999 38237 1000
S1 XL_group1a 1285000 1285999 36729 998
S1 XL_group1a 1286000 1286999 26804 997
S1 XL_group1a 1287000 1287999 762 1000
S1 XL_group1a 1288000 1288999 0 1000
S1 XL_group1a 1289000 1289999 0 1000
S1 XL_group1a 1290000 1290999 23616 998
S1 XL_group1a 1291000 1291999 41208 998
S1 XL_group1a 1292000 1292999 43585 1000
S1 XL_group1a 1293000 1293999 43600 1000
S1 XL_group1a 1294000 1294999 42368 1000
S1 XL_group1a 1295000 1295999 41691 1000
S1 XL_group1a 1296000 1296999 42460 999
S1 XL_group1a 1297000 1297999 42388 999
S1 XL_group1a 1298000 1298999 44484 1000
S1 XL_group1a 1299000 1299999 40926 1000
S1 XL_group1a 1300000 1300999 41767 958
S1 XL_group1a 1301000 1301999 42107 999
S1 XL_group1a 1302000 1302999 38715 1000
S1 XL_group1a 1303000 1303999 36489 1000
S1 XL_group1a 1304000 1304999 41291 998
S1 XL_group1a 1305000 1305999 42520 1000
S1 XL_group1a 1306000 1306999 32588 1000
S1 XL_group1a 1307000 1307999 14811 995
S1 XL_group1a 1308000 1308999 28697 998
S1 XL_group1a 1309000 1309999 13577 994
S1 XL_group1a 1310000 1310999 28141 989
S1 XL_group1a 1311000 1311999 58914 998
S1 XL_group1a 1312000 1312999 24279 1000
S1 XL_group1a 1313000 1313999 436 1000
S1 XL_group1a 1314000 1314999 0 1000
S1 XL_group1a 1315000 1315999 0 1000
S1 XL_group1a 1316000 1316999 0 1000
S1 XL_group1a 1317000 1317999 0 1000
S1 XL_group1a 1318000 1318999 0 1000
S1 XL_group1a 1319000 1319999 0 1000
S1 XL_group1a 1320000 1320999 0 1000
S1 XL_group1a 1321000 1321999 0 1000
S1 XL_group1a 1322000 1322999 0 1000
S1 XL_group1a 1323000 1323999 0 1000
S1 XL_group1a 1324000 1324999 0 1000
S1 XL_group1a 1325000 1325999 0 1000
S1 XL_group1a 1326000 1326999 16769 996
S1 XL_group1a 1327000 1327999 12358 986
S1 XL_group1a 1328000 1328999 38133 1000
S1 XL_group1a 1329000 1329999 37526 1000
S1 XL_group1a 1330000 1330999 36872 1000
S1 XL_group1a 1331000 1331999 41374 995
S1 XL_group1a 1332000 1332999 48180 997
S1 XL_group1a 1333000 1333999 6790 991
S1 XL_group1a 1334000 1334999 29047 999
S1 XL_group1a 1335000 1335999 35267 1000
S1 XL_group1a 1336000 1336999 38180 998
S1 XL_group1a 1337000 1337999 37000 1000
S1 XL_group1a 1338000 1338999 36558 1000
S1 XL_group1a 1339000 1339999 36788 1000
S1 XL_group1a 1340000 1340999 38828 1000
S1 XL_group1a 1341000 1341999 40452 999
S1 XL_group1a 1342000 1342999 39695 1000
S1 XL_group1a 1343000 1343999 39684 1000
S1 XL_group1a 1344000 1344999 36485 1000
S1 XL_group1a 1345000 1345999 42718 1000
S1 XL_group1a 1346000 1346999 40721 1000
S1 XL_group1a 1347000 1347999 37912 1000
S1 XL_group1a 1348000 1348999 45121 998
S1 XL_group1a 1349000 1349999 44304 1000
S1 XL_group1a 1350000 1350999 40550 1000
S1 XL_group1a 1351000 1351999 44013 1000
S1 XL_group1a 1352000 1352999 38004 1000
S1 XL_group1a 1353000 1353999 37505 1000
S1 XL_group1a 1354000 1354999 44460 1000
S1 XL_group1a 1355000 1355999 41978 1000
S1 XL_group1a 1356000 1356999 38122 997
S1 XL_group1a 1357000 1357999 35803 1000
S1 XL_group1a 1358000 1358999 38451 1000
S1 XL_group1a 1359000 1359999 35878 1000
S1 XL_group1a 1360000 1360999 37488 1000
S1 XL_group1a 1361000 1361999 38414 1000
S1 XL_group1a 1362000 1362999 41230 1000
S1 XL_group1a 1363000 1363999 36786 1000
S1 XL_group1a 1364000 1364999 39225 999
S1 XL_group1a 1365000 1365999 39925 999
S1 XL_group1a 1366000 1366999 36625 999
S1 XL_group1a 1367000 1367999 44750 999
S1 XL_group1a 1368000 1368999 40187 999
S1 XL_group1a 1369000 1369999 44821 1000
S1 XL_group1a 1370000 1370999 45042 1000
S1 XL_group1a 1371000 1371999 44402 1000
S1 XL_group1a 1372000 1372999 43240 1000
S1 XL_group1a 1373000 1373999 39073 1000
S1 XL_group1a 1374000 1374999 36814 1000
S1 XL_group1a 1375000 1375999 39439 1000
S1 XL_group1a 1376000 1376999 39700 999
S1 XL_group1a 1377000 1377999 47408 999
S1 XL_group1a 1378000 1378999 38758 1000
S1 XL_group1a 1379000 1379999 38517 1000
S1 XL_group1a 1380000 1380999 42348 1000
S1 XL_group1a 1381000 1381999 39881 1000
S1 XL_group1a 1382000 1382999 38382 1000
S1 XL_group1a 1383000 1383999 38932 1000
S1 XL_group1a 1384000 1384999 38835 1000
S1 XL_group1a 1385000 1385999 38793 1000
S1 XL_group1a 1386000 1386999 39112 1000
S1 XL_group1a 1387000 1387999 43585 1000
S1 XL_group1a 1388000 1388999 45057 993
S1 XL_group1a 1389000 1389999 41445 1000
S1 XL_group1a 1390000 1390999 40903 1000
S1 XL_group1a 1391000 1391999 43737 1000
S1 XL_group1a 1392000 1392999 37769 999
S1 XL_group1a 1393000 1393999 42920 1000
S1 XL_group1a 1394000 1394999 43077 1000
S1 XL_group1a 1395000 1395999 43400 1000
S1 XL_group1a 1396000 1396999 41928 1000
S1 XL_group1a 1397000 1397999 41477 1000
S1 XL_group1a 1398000 1398999 44522 1000
S1 XL_group1a 1399000 1399999 43604 1000
S1 XL_group1a 1400000 1400999 42773 1000
S1 XL_group1a 1401000 1401999 43483 1000
S1 XL_group1a 1402000 1402999 44757 1000
S1 XL_group1a 1403000 1403999 43052 1000
S1 XL_group1a 1404000 1404999 44906 986
S1 XL_group1a 1405000 1405999 17308 998
S1 XL_group1a 1406000 1406999 12535 1000
S1 XL_group1a 1407000 1407999 45218 1000
S1 XL_group1a 1408000 1408999 47352 1000
S1 XL_group1a 1409000 1409999 26896 1000
S1 XL_group1a 1410000 1410999 24457 993
S1 XL_group1a 1411000 1411999 46002 994
S1 XL_group1a 1412000 1412999 45126 1000
S1 XL_group1a 1413000 1413999 42676 994
S1 XL_group1a 1414000 1414999 42708 1000
S1 XL_group1a 1415000 1415999 39749 1000
S1 XL_group1a 1416000 1416999 47148 1000
S1 XL_group1a 1417000 1417999 36054 1000
S1 XL_group1a 1418000 1418999 42606 1000
S1 XL_group1a 1419000 1419999 48231 1000
S1 XL_group1a 1420000 1420999 39298 1000
S1 XL_group1a 1421000 1421999 37286 1000
S1 XL_group1a 1422000 1422999 42518 1000
S1 XL_group1a 1423000 1423999 42280 1000
S1 XL_group1a 1424000 1424999 41541 1000
S1 XL_group1a 1425000 1425999 26943 1000
S1 XL_group1a 1426000 1426999 33116 994
S1 XL_group1a 1427000 1427999 37296 1000
S1 XL_group1a 1428000 1428999 41708 1000
S1 XL_group1a 1429000 1429999 39584 1000
S1 XL_group1a 1430000 1430999 34848 1000
S1 XL_group1a 1431000 1431999 41520 1000
S1 XL_group1a 1432000 1432999 42808 1000
S1 XL_group1a 1433000 1433999 22809 998
