Indiv CHROM pos1 pos2 sum_depth n_sites
S1 XR_group8 1633000 1633999 9145 233
S1 XR_group8 1634000 1634999 37719 1000
S1 XR_group8 1635000 1635999 45554 998
S1 XR_group8 1636000 1636999 33979 997
S1 XR_group8 1637000 1637999 38099 1000
S1 XR_group8 1638000 1638999 32120 999
S1 XR_group8 1639000 1639999 39296 1000
S1 XR_group8 1640000 1640999 37885 998
S1 XR_group8 1641000 1641999 42680 998
S1 XR_group8 1642000 1642999 37596 993
S1 XR_group8 1643000 1643999 43168 999
S1 XR_group8 1644000 1644999 36298 1000
S1 XR_group8 1645000 1645999 43199 1000
S1 XR_group8 1646000 1646999 46139 998
S1 XR_group8 1647000 1647999 42203 1000
S1 XR_group8 1648000 1648999 40167 999
S1 XR_group8 1649000 1649999 37108 1000
S1 XR_group8 1650000 1650999 47442 1000
S1 XR_group8 1651000 1651999 39409 1000
S1 XR_group8 1652000 1652999 41528 1000
S1 XR_group8 1653000 1653999 35331 999
S1 XR_group8 1654000 1654999 39802 995
S1 XR_group8 1655000 1655999 46869 1000
S1 XR_group8 1656000 1656999 36720 1000
S1 XR_group8 1657000 1657999 42086 999
S1 XR_group8 1658000 1658999 43136 1000
S1 XR_group8 1659000 1659999 43625 1000
S1 XR_group8 1660000 1660999 44190 1000
S1 XR_group8 1661000 1661999 41745 1000
S1 XR_group8 1662000 1662999 46508 1000
S1 XR_group8 1663000 1663999 44151 1000
S1 XR_group8 1664000 1664999 37529 998
S1 XR_group8 1665000 1665999 36470 1000
S1 XR_group8 1666000 1666999 37820 1000
S1 XR_group8 1667000 1667999 43581 1000
S1 XR_group8 1668000 1668999 41007 1000
S1 XR_group8 1669000 1669999 37255 991
S1 XR_group8 1670000 1670999 40011 1000
S1 XR_group8 1671000 1671999 43775 999
S1 XR_group8 1672000 1672999 46825 1000
S1 XR_group8 1673000 1673999 40083 999
S1 XR_group8 1674000 1674999 42274 1000
S1 XR_group8 1675000 1675999 30937 999
S1 XR_group8 1676000 1676999 40800 1000
S1 XR_group8 1677000 1677999 39129 1000
S1 XR_group8 1678000 1678999 30234 1000
S1 XR_group8 1679000 1679999 32700 993
S1 XR_group8 1680000 1680999 43662 999
S1 XR_group8 1681000 1681999 43445 1000
S1 XR_group8 1682000 1682999 29925 997
S1 XR_group8 1683000 1683999 37597 993
S1 XR_group8 1684000 1684999 48859 1000
S1 XR_group8 1685000 1685999 45834 1000
S1 XR_group8 1686000 1686999 38272 1000
S1 XR_group8 1687000 1687999 41724 1000
S1 XR_group8 1688000 1688999 41870 998
S1 XR_group8 1689000 1689999 46354 1000
S1 XR_group8 1690000 1690999 40221 990
S1 XR_group8 1691000 1691999 38475 1000
S1 XR_group8 1692000 1692999 40937 1000
S1 XR_group8 1693000 1693999 38958 1000
S1 XR_group8 1694000 1694999 49116 1000
S1 XR_group8 1695000 1695999 39111 997
S1 XR_group8 1696000 1696999 41454 1000
S1 XR_group8 1697000 1697999 37950 993
S1 XR_group8 1698000 1698999 30823 993
S1 XR_group8 1699000 1699999 41099 996
S1 XR_group8 1700000 1700999 42673 994
S1 XR_group8 1701000 1701999 40927 997
S1 XR_group8 1702000 1702999 44422 998
S1 XR_group8 1703000 1703999 43159 999
S1 XR_group8 1704000 1704999 48086 1000
S1 XR_group8 1705000 1705999 42130 1000
S1 XR_group8 1706000 1706999 42150 999
S1 XR_group8 1707000 1707999 47409 1000
S1 XR_group8 1708000 1708999 39279 987
S1 XR_group8 1709000 1709999 45997 1000
S1 XR_group8 1710000 1710999 40119 996
S1 XR_group8 1711000 1711999 40763 1000
S1 XR_group8 1712000 1712999 43147 1000
S1 XR_group8 1713000 1713999 45515 1000
S1 XR_group8 1714000 1714999 39078 1000
S1 XR_group8 1715000 1715999 33077 996
S1 XR_group8 1716000 1716999 40610 996
S1 XR_group8 1717000 1717999 44142 1000
S1 XR_group8 1718000 1718999 42197 999
S1 XR_group8 1719000 1719999 33428 987
S1 XR_group8 1720000 1720999 41383 999
S1 XR_group8 1721000 1721999 36688 1000
S1 XR_group8 1722000 1722999 37485 1000
S1 XR_group8 1723000 1723999 37654 1000
S1 XR_group8 1724000 1724999 41718 999
S1 XR_group8 1725000 1725999 44223 1000
S1 XR_group8 1726000 1726999 41879 1000
S1 XR_group8 1727000 1727999 46935 998
S1 XR_group8 1728000 1728999 41632 999
S1 XR_group8 1729000 1729999 43312 1000
S1 XR_group8 1730000 1730999 39972 995
S1 XR_group8 1731000 1731999 38336 1000
S1 XR_group8 1732000 1732999 42112 1000
S1 XR_group8 1733000 1733999 44756 1000
S1 XR_group8 1734000 1734999 42260 1000
S1 XR_group8 1735000 1735999 40784 1000
S1 XR_group8 1736000 1736999 36860 1000
S1 XR_group8 1737000 1737999 41019 1000
S1 XR_group8 1738000 1738999 41325 1000
S1 XR_group8 1739000 1739999 43049 1000
S1 XR_group8 1740000 1740999 39324 1000
S1 XR_group8 1741000 1741999 42405 1000
S1 XR_group8 1742000 1742999 42199 1000
S1 XR_group8 1743000 1743999 40425 1000
S1 XR_group8 1744000 1744999 32920 999
S1 XR_group8 1745000 1745999 34812 1000
S1 XR_group8 1746000 1746999 38424 1000
S1 XR_group8 1747000 1747999 39760 999
S1 XR_group8 1748000 1748999 38010 1000
S1 XR_group8 1749000 1749999 41695 999
S1 XR_group8 1750000 1750999 40950 1000
S1 XR_group8 1751000 1751999 38661 1000
S1 XR_group8 1752000 1752999 40989 1000
S1 XR_group8 1753000 1753999 43126 1000
S1 XR_group8 1754000 1754999 41912 1000
S1 XR_group8 1755000 1755999 38654 1000
S1 XR_group8 1756000 1756999 45011 992
S1 XR_group8 1757000 1757999 39139 996
S1 XR_group8 1758000 1758999 42813 1000
S1 XR_group8 1759000 1759999 41743 1000
S1 XR_group8 1760000 1760999 38084 998
S1 XR_group8 1761000 1761999 43696 1000
S1 XR_group8 1762000 1762999 42355 1000
S1 XR_group8 1763000 1763999 39811 1000
S1 XR_group8 1764000 1764999 37617 1000
S1 XR_group8 1765000 1765999 41677 1000
S1 XR_group8 1766000 1766999 39985 1000
S1 XR_group8 1767000 1767999 44469 1000
S1 XR_group8 1768000 1768999 39888 996
S1 XR_group8 1769000 1769999 14783 995
S1 XR_group8 1770000 1770999 4530 1000
S1 XR_group8 1771000 1771999 38408 995
S1 XR_group8 1772000 1772999 37032 999
S1 XR_group8 1773000 1773999 37793 999
S1 XR_group8 1774000 1774999 39894 999
S1 XR_group8 1775000 1775999 39299 1000
S1 XR_group8 1776000 1776999 38378 1000
S1 XR_group8 1777000 1777999 44261 1000
S1 XR_group8 1778000 1778999 41828 1000
S1 XR_group8 1779000 1779999 41467 1000
S1 XR_group8 1780000 1780999 38104 1000
S1 XR_group8 1781000 1781999 41524 1000
